,Unnamed: 0,question_text,topics,answer_text,q_token_count,a_token_count,a_text_length,tf_type_zero_shot,tf_score
129,677,my daughter didnt see her biological father for the last three years she doesnt want to see him because she remember really bad things from him such as domestic violence and child abuse the visitation is with supervision but she refuses to see him is it better to take my daughter to the therapist and try to see him after the therapy,parenting,has the father or the visitation supervisor contacted you regarding why your daughter hasnt shown up for the past three years worth of supervised visitationor is the supervised visitation a new development for the bio dad and your daughterif no one is pressuring or expecting your daughter to show up no one has even asked where she is why she isnt present then i dont see any reason for you to offer more effort by your daughter than the father is willing to make for seeing herif your daughter is willing to talk with a therapist then let her find out first hand if the sessions seem useful or notthe one move id avoid is to force your daughter to go to a therapist since growing up in a household in which child abuse took place being forced may remind her of her own feelings from this past of feeling no one heard or cared about the way she wanted to be treated,1,1,866,T,0.7573411464691162
137,806,ive been in an on an off relationship with a this man for almost  years even though i care about him he continues to hurt me    he and his wife were separated when we met now hes going through a really difficult divorce from her and is taking it really hard i want to end this relationship but i dont feel like i can how can i let go,relationshipdissolution,first decide what you truly would like in the current relationship understand your reasons for staying in the relationshipthree years is a substantial amount of time to be involved with someone   whatever attachment you feel toward this man is deep and complexinstead of deciding to leave or not leave change your question to figuring out your satisfactions and dissatisfaction with the man also important is to tell the man your feelingswhatever problem you are feeling may become clarified by discussing what bothers youat the very least you will give the guy a chance to show how interested he actually is in the tension you currently feel and have felt for a while,1,1,668,T,0.7817708253860474
138,1131,weve been dating for two months now i have a heavy past that gets him angry does he have a right to penalize me for things i did before i met him,intimacy,not in my book youre only two months in at this early stage this is a bit of a warning sign if he cant accept or feel comfortable with who you are and decisions youve made theres already a level of discomfort here that shouldnt be ignored no he doesnt have the right to penalize you or punish you not just for past thingsnot for anything what he does get to do it tell you how it affects him sureif he feels uncomfortable or needs reassurancelisten to those things but if he doesnt dig who you are maybe he can walk the other way,1,1,529,T,0.6395696401596069
141,1261,my mom and dad got divorced four years ago i had to finish out the school year with my dad and now they are deciding which place is best for me i cant choose how can i choose if i love both places,familyconflict,if youve already stated to your parents that youd like your opinion to be considered and listed the key areas youd like them to keep in mind when making a final decision as to which house you will live then youve done all you possibly and reasonably can dosince you wrote that you have difficulty to decide in which parents home you prefer to live then even if you had free choice of whose house in which to live are you not better off with the decision made by them on your behalf,1,1,481,T,0.9328924417495728
149,1373,i dont know how to tell someone how i feel about them how can i get better at expressing how i feel,relationships,i wanted to share these two short books see below you could also look into working on your throat chakra which deals with speaking your truth selfexpression  being heard  communication crunch high impact communication,1,1,217,T,0.5735001564025879
152,1233,my mother takes care of niece whom my sister abandoned she calls me every day complaining but i dont want to hear it anymore,familyconflict,then one day when life between you and mom feels calm tell your mom that you arent able to listen to her complaints about your sisterthe truth exists whether or not it is acknowledged   bu acknowledging what feels real and necessary in your life you are helping your mom see what she may not like to see and what nevertheless is right in front of herthere is no good reason or good to come of hiding your own truth about not wishing to continue listening to your mom complain,1,1,475,T,0.6178703904151917
156,635,my daughter is in later elementary school she cant color in the lines her words jumble together when she writes unless there are big spaces or she skips lines,parenting,at times when a child is not displaying milestone behavior at the same rate that is average for their peers this should raise concern so you are correct in reaching out for advice speaking with your childs pediatrician as well as school staff may be the first places to start you can request that she receive an assessment and evaluation with a subsequent treatment plan to meet any needs she may have,1,1,401,T,0.939116358757019
157,978,any time things get heated the past gets brought up i raise my voice at her to try to get a point across she asks openended questions but always has to turn my own answer against me shes seven months pregnant i have drank in the past but im not dependent on alcoholi only drink at social events,angermanagement,have you tried to talk about the subjects of the past in the present at a time in which there is no heat between the two of yousince your gf would like to resolve situations from the past the best way to do so would be to talk about them  the more you try to avoid certain subjects the more likely they will come up between you at worse possible momentsif you can get ahead of the pattern of old topics coming up without your control then try scheduling a discussion about them  this by itself will show your gf you care about what she cares about and this may be one quality she would feel good about,1,1,601,T,0.5972438454627991
159,985,my issue isnt resisting angry urges its the anger itself my rage is extreme and vastly disproportionate to the direct stressor it causes violent thoughts but i never act i stay lucid enough to know the rage is violent not me i dont want to drown myself in anger and resentment,angermanagement,knowing how you feel and also being able to stabilize yourself to act upon the tremendous anger you feel are fine qualitiesanger whatever the magnitude generally reflects emotional pain that has not yet been placed into wordstry thinking over your growing up years because maybe you will discover certain repeated dynamics which upset you and that no one helped you feel secure through such timesalso if either of your parents drank too much and raged when they were drunk you may be repeating their patterns of how to respond to situations   even without drinking the response patterns of yelling and throwing things are frightening enough to leave a permanent memoryif this describes part of your childhood then it is possible you are becoming angry because it was the only emotion that either of your parents was able to express,1,1,831,T,0.6086934208869934
160,374,im dealing with imposter syndrome in graduate school i know that by all accounts i am a phenomenal graduate student and that i am wellpublished i am well liked by students and faculty alike and yet i cannot shake the feeling that im going to be found out as a fraud    how can i get over this feeling,anxiety,it sounds like you are on the right track recognizing these nagging thoughts of self doubt as imposter syndrome is a huge step in the right direction  from what you have written here it appears that you are able to challenge your own thoughts and provide yourself with evidence that counteracts the imposter syndrome   continuing to remind yourself of what you have accomplished and looking at the facts at hand can help diminish doubt  remember many successful people battled imposter syndrome on the way to the top and still manage it  it might be helpful to read some of their stories so that you dont feel alone  the cut has a great article on  famous women on impostersyndrome and selfdoubt   business insider has a great article about men and the imposter syndrome too  remember if you jumped through all of the hoops to get into school and get published you belong,1,1,871,T,0.8059687614440918
161,1567,"i was with my friends fishing by a pond i found a frog and stabbed it with my friends knife im not sure why i did it my friends saw me do it it and were shocked and got really mad at me
   now if someone brings it up i get really upset and panicked i dont know why i feel like this does this mean there is something wrong with me",behavioralchange,the good news is your awareness that being violent to animals feels out of character for you   im glad you have awareness and im glad you are not at ease with killing frogsfairly likely that you were acting out aggressively toward the frog feelings of being on the receiving side of similar type of violencebasically you did unto the frog what someone has or to you feels like has been done to youuse your surprising finding of how strong your anger and most likely inward pain   reflect on your closest relationships and how these people treat you   it is possible you feel more hurt by someone who is close to you than you ever realizedstabbing innocent frogs is wrong  it is understandable as a way to show you how much inner pain you probably haveit is also wrong that someone close to you hurt youthe direction to go is to recognize your pain and then decide how to go about changing what is possible on your side of that or those relationships,1,1,949,T,0.679773211479187
164,1420,i met this girl in high school she had switched schools at the end of the year and i have not seen her since its been a few years we had a very good and friendly relationship and we seemed to have a lot in common i never gained the courage to ask her out,relationships,one way to make good use of the situation you describe is to prepare and rehearse within yourself the way youd handle a similar situation in the futuresince a lot of time has gone by since you and this girl saw each other on a regular basis right now youve got no idea if youd feel the same way about her today as you did a few years agothe relationship does point out the priorities and values you hold for a potential partner  that you liked the friendliness you shared is good for you to recognize  this way you realize you like friendship as a relationship property  to have lots of similar interests is another quality you appreciate in a partnerthe more you know about what you do and dont like in a partner the greater your chance to notice these qualities in someone new who comes along your path,1,1,804,T,0.6531250476837158
167,1442,im in my early s my exs parents are friends with them and have told them bad things about me i left my ex due to an abusive situation and they are making me look like i was the bad one,relationships,maybe you can talk with your partner about this first look at the different elements of a possible conversation in the future if you are at a place where you are willing or able to disclose the reason that you left your ex that could be one element of the discussion but it doesnt have to bei dont know how long we have been together with your current partner but perhaps his or her parents would see you for who you are and make their own opinions over time that may be a discussion to have with them as wellhopefully your partner will be a good sounding board before these conversations,1,1,588,T,0.6232256293296814
174,1963,"my therapist is gay so there are no sexual issues here however my therapist for six years has made me believe that he cares about me and that we are friends i have loaned money to him many times and he always paid me back

i had a medical emergency last weekend and i was heavily medicated i knew that this therapist came into my home and wrote down my credit card information so he could pay back what he owed me but this therapist dropped me off and never came again  i dont know what to do",professional ethics,im sorry to hear that this has happened counselors are legally and ethically required to make sure that they always put the wellbeing of their clients above their own interests in addition counselor ethical rules and the laws in just about every state make it illegal for counselors to take advantage of a client financially a counselor borrowing money from a client even if the counselor pays it back would usually be considered to be taking advantage of the clientthere are a few options you have at this point if you cant or dont want to continue to try to contact him directly you can file a complaint with your states regulatory board and let them know what has happened  an investigator will then look into the situation for you  another option would be for you to find a different counsleor who can provide you with an independent and netural point of view to help you figure out how you want to handle this situation,1,1,924,T,0.5207940340042114
181,2470,sometime when small thing happen like losing a comb i get furious  i even start throwing things do i have a problem,anger management,anyone who asks whether or not they have a problem usually feels at least partly that they do have a problemyour answer to the question is what matterssince you already understand that your reaction is overstated to the events which trigger them the reactions youre having are more than likely anger that is leftover from past events either in the near or distant pastbe aware consider reflect on  how you usually handle feeling angry  based on your description here it is quite likely that the anger you show toward what you call little things reflect anger at much bigger matters that are uncomfortable and not easy to understandknowing more about the more significant matters causing frustration for you may very likely decrease reacting angrily toward smaller matters,1,1,771,T,0.811106264591217
185,1147,my partner and i have had an amazing relationship and connection for over two years were very committed to each other and are planning a very long life together however he recently was very open and honest that he isnt interested in having sex with me anymore he says this has happened in every past relationships and has ended it as a result he knows its because its the same person feeling but how can he get over this,intimacy,i wonder how long anymore will be for your boyfriendsince you both are planning a long life together instead of his custom of ending relationships when he feels bored with the sex he will be facing the situation of being in a relationship and not having sex with his partner to whom he is committedwhat are your own views on the meaning of sex in a relationshipknowing this will help you be better able to collaborate with your boyfriend on finding ways of balancing what you each would like,1,1,491,T,0.5456501245498657
190,488,i feel too scared to meet people i dont know  even relatives i dont ever raise my hand or talk in school i feel like no one understands how can i handle this,anxiety,social anxiety is scary you dont feel safe in relationships and prefer to isolate yourself from the outside world is it something you can talk to your parents about a school counselor could help you the counselor could possibly order an evaluation to determine how to helpbuild your self confidence  start slow with your family and identify a subject you are familiar with and add to a general conversation its important to start finding things in common with others you dont need to carry the conversations just add a phrase or two have an exit strategy if you get too uncomfortable keep notes of what worked and what didnt work so youll be prepared for your next opportunity carpe diem,1,1,687,T,0.595058262348175
194,1275,my boyfriend and i have been arguing every night about the same thing he also tells me that if i go visit my mother out of state he will be gone when i get back he and my mother do not get along what should i do,familyconflict,a relationship gets weaker not stronger by threatening control of the other personstart by telling your boyfriend to keep his remarks about you and the interests he is in which you two disagree limited to these areasyour relationship with your mother is between you and herregardless of how much he doesnt like her to not respect your mother daughter relationship is unreasonable and disrespectful toward youthreatening to take action against you by withdrawing himself from your relationship is almost guaranteed to harm the good feelings between the two of youdoes you boyfriend dislike your mother for any reason having to do with her being a danger to youask his reason since if he does this from concern for your emotional or physical safety then this is good sentiment which is handled incorrectly by a threat to youwhat you should do is ask your boyfriend to not threaten you and to calmly talk about the topics you bring up here,1,1,936,T,0.6973060965538025
195,1066,nothing weve tried has worked so far,intimacy,probably what you should do is decide whether you can continue having a romantic and sexual relationship with someone to whom you dont feel like having sexfive years is long enough to know that the way you feel toward your partner is more than likely going to remain this waytalk with your gf about your feelings because she may not wish to be in a relationship in which her partner is not sexually attracted to her,1,1,415,T,0.8280599117279053
196,642,my daughter seemed to be developing at a normal rate until about the age of  she then started to act younger than she is    now she only wants to play with younger kids and she doesnt act her age i dont know why this is happening is this normal,parenting,this is certainly an important issue to look into it is always helpful to speak with the childs pediatrician since they are most familiar with the childs developmental history also children tend to regress behaviorally when facing events and interactions they feel to have no control over this can be as simple as a loss of a pet a recent move death in the family  andor as serious as sexual abuse and other things if you have not spoken to the school that can be a good starting point,1,1,485,T,0.6818441152572632
199,654,shes in her early s and she has a toddler,parenting,well first lets identify what factors are involved in the situation about which you wroteare you the only decision maker regarding your stepdaughter living with youis her dad and your partner living under the same roofwould you feel any obligation to consult with your husband about his opinion and his way of handling the situationhave you talked with your stepdaughter about your observation and your reaction to the fact of her not honoring your boundariesconsider too that there will be an effect on the toddler your grandchild if you kick out your daughteris your daughter financially ready to live on her own and support herself and her childyou certainly have the right to define the terms of what goes on under your roofit is only fair to everyone that as many variables as possible be consideredthe conclusion may be that it is in everyones best interest for your stepdaughter to move outif everyone feels respected and a well thought out plan is developed then the least amount of hurt and stress and the most amount of happiness will be possible from this change,1,1,1073,T,0.8910876512527466
200,2574,"i have high functioning autism and i have been on a lot of dating sites like meet me match and zoosk i havent had any luck on any of the dating sites i have been on

 i really want a boyfriend but i dont know what i should do i just want to be in a relationship how can i meet someone",relationships,are there dating sites for people who have autism on the high functioning endif not then find out the names of different organizations which support people who have autism  at least one of these groups will have some guidance as to social activities for dating or even specific sites for dating when autism is a criteriaall the rejection on dating sites is rough for anyone to handlehow do you know that youre being passed over by guys who are on dating sites because you have autism    any reason is possibleunless youve heard from a few particular guys that their reason for looking beyond you is because of your autism it is possible youre in the same boat as everyone else who feels similarly frustrated by dating site rejection,1,1,732,T,0.6902144551277161
205,2504,over a year ago i had a female friend she turned out to be kind of crazy so i decided to stop talking to her  when she would call me i wouldnt answer the phone this made my girlfriend really suspicious she would ask me why i wouldnt ever answer that phone number i told my girlfriend that i dont want to be friends with that other woman but i dont think she believes me how can i get my girlfriend to understand,relationshipssocial relationships,open and honest communication can go a long way in situations like yours your girlfriend may be suspicious if you dont give her enough information answer her questions fully ask for her suggestions as to how to handle this female friend ask for your girlfriend for help in getting the female friend to understand that you are not interested in continuing the friendship if you are honest with your friend your girlfriend will probably feel like you are being honest with her,1,1,474,T,0.6813594102859497
207,659,i am in my s with  kids and no job and im behind on the bills ive been trying everything with no results i feel like everyone else puts their needs in front on mine i give intil it hurts and im afraid that im going to fail my babies    ive been struggling for  yrs in a relationship with no communication and no alone time how can i get some support,parenting,financial stability is probably a good place to start your new life projectif your partner doesnt work or doesnt contribute his money to the household bills then maybe you are eligible  for some type of stipend from the governmentespecially since you have kids the child welfare service may intervene to help you  sometimes too a partner who is unwilling to pay for their kids wellbeing may be pressured by child welfare to make regular contributions to you and your kidsim glad you are thinking of your needs and those of your kids  this is the philosophy which will show you what road to follow so all three of you are in a secure financial place,1,1,648,T,0.8943117260932922
211,1022,i love my girlfriend so much i get an erection even just thinking about her or seeing her but the two times we tried to have sex i couldnt get an erection weve only had sex once and it was a long time ago    why this is happening and what can i do about it,intimacy,sexual desire seems to be straightforward  i like someone and i become aroused at the thoughts of being intimate with them  but that idea does not always take into account other factors stress can have a huge effect on our body and how it performs  when we are overstressed for example we often find ourselves ill at the same time  can you think of any part of your world that may be causing you some additional stress additionally focusing on your erection may also be increasing the level of stress you feel about being intimate which could also effect your ability to get and maintain an erection  while this may seem counter intuitive it makes sense in the word of stressfinally its never a bad idea to follow up with your doctor as well you did not mention your age or sexual history outside of this relationship but it is always a good idea to check in with medical staff to make sure there is nothing physically responsible for changes in our body as well,1,1,962,T,0.575972318649292
214,646,she cried because she lost all trust in me now i feel disgusting and like my heart just got stabbed what do i do,parenting,you felt bad when you lied so you told the truth  i imagine your mom was really shocked and upset  both of those things tell me you are a pretty honest person  its possible that your mom had a big reaction simply because she has learned that her child from whom she always assumed honesty was capable of being dishonest  thats not awesome but its not the end of the world  you made a mistake  youll make more of those in your life just try not to make the same ones over and over againit sounds like you and your mom are close so i can see why it would feel so awful to have her distrust you  since you are a fundamentally honest person the way back to being trusted is going to be simple but may take a little time  the recipe is easy  say what you are doinggoing to do do only that unless change is necessary in which case you inform others involved and repeat  and cut yourself some slack  your mom will recover and so will you  its an important and painful lesson about integrity but once learned it will serve you well,1,1,1023,T,0.6099629402160645
215,1112,im trying to make marriage work after a split before our split he lied a lot and broke every promise to me i dont think he cheated last month i asked what women work with him so he told me yesterday i found out about a girl that he said he forgot about should i be upset,intimacy,imagine your best friend just told you that her husband lied to her all the time and that he had broken every promise he ever made to her what would you tell her if i were her best friend id tell her to run the other way you may love this man we dont choose who we love but the evidence is pretty clear isnt it a healthy relationship cannot be built on a foundation of lies and broken promises i believe that as adults we are always treated as well as we insist on being treated by our partners if you continue to accept unacceptable behavior you are likely to see lots more of it,1,1,580,T,0.8847258687019348
218,1083,shes busy because her mom makes her clean all the time and go out places with her family we dont talk much because of it also we have little fights we want to work it out but we dont know how,intimacy,maybe your girlfriend feels torn in her emotions between loyalty toward her family and toward investing herself in a relationshipthere are so many maybes that the best way to strengthen your relationship is to ask your girlfriend if she feels any pressure from her family to avoid involving herself with youif the answer is no then continue to talk with each other as to what would make you each feel more secure with one anotheralso more simply are the  two of you able to resolve the little fightsdifferences of opinion are normal between two people even to the point of each person feeling they are the only one who knows the correct answeras long as each one of you has the goodwill to give a little then the fights are a healthy way to respect and care about each otherif the fights are about the same topic which repeats itself then there are strong differences between the two of you including the possibility that her family places and she is willing to accept some obstacle to this relationship,1,1,1003,T,0.7570030689239502
219,1163,im a  year old male and having erection problems still have the desire for a woman awfully frustrated any suggestions my doc doesnt want to discuss it,intimacy,when a doc blows you off it may be a signal that it is time to find a new one ed can often be caused by health issues if all physical possibilities are ruled out then its time to look within and enlist the help of a sex therapist heres a good article for you to start with,1,1,272,T,0.9065157771110536
222,708,im a teenage girl and i feel very bad about my weight i dont know how to make it stop,selfesteem,one way may be to take some sort of physical movement class in which you will be regarded by the teacher as one of the students not the girl who weighs a certain amountin a movement class such as pilates yoga aerobics weights dance when the standard for clothing is somewhat fitted and shows more of our physical bodies than regular clothing and to be considered as one of the students not stigmatized for how much or how little you weigh may help you be as accepting of yourself as the teacher is of you,1,1,504,T,0.7760463356971741
228,1304,"i am having a problem with extended family members who are inappropriately urinating in my home they are peeing in cat litter boxes bottles and directly on floors and in corners of my house
 is there any literature that supports why such adults would behave this way this is not a joke i am trying to understand",familyconflict,hi this sounds like a very challenging and upsetting problem  good for you for reaching out my first thought is these two adults may have a sleep disorder that could be contributing to the urination in inappropriate places since they are adults and you cant force them to seek treatment  you might be able to suggest that there could be an underlying medical issue and advise they speak with a medical provider  as far as what to do for yourself  set some firm boundaries be clear about the expectations of your home also include the positive and negative consequences should they decide to address or avoid this issue i hope this helps you your family members and the pets,1,1,673,T,0.6363887786865234
229,248,i have been dealing with depression and anxiety for a number of years i have been on medication but lately my depression has felt worse can counseling help,depression,my initial response  consider a more comprehensive mh assessment to determine other factors a medical evaluation is warranted to rule out poor health issues blood work is helpful review what hadnt helped,1,1,203,T,0.9704568982124328
230,1294,she is living with her boyfriend of seven years he is in therapy for depression and social anxiety he hasnt worked in all this time,familyconflict,congrats on your upcoming grandchilddoes your daughter want you to break news of her pregnancy to the familytalk with your daughter first whether or not she would like you to tell other family membersalso given the other facts you mention in your post if household and financial management are areas you feel your daughter is vulnerable then bring up these topics toostay open minded about your daughter having views which are different from yours,1,1,447,T,0.7839077711105347
237,1126,im in a relationship with my childs father im a really jealous person we dont go out or do anything with other people because of me to keep our relationship going i know i have to stop being jealous but i cant how can i get over these issues,intimacy,it may be important to look at this as getting through something rather than getting over it if youre aware of the reasons why you are jealous i dont know if they relate to this relationship or a previous one but you could remind yourself of the differences if your feelings of jealousy relate to something from your pastalso it may be beneficial to have a conversation with your childs father if you are both open to having a discussion about this in a way that you summarize what each other is saying so you are sure that you are understanding each other at least to some degreealso consider what you may want from your childs father to assist you with this you cannot make him do anything to support you with this but you can certainly askwhat is something you could start or stop doing to move you toward your goal,1,1,818,T,0.8692595958709717
239,1952,"she was raised by her abusive father and his wife  years ago i shot and killed my rapist and was convicted in louisiana i lost custody of my daughter and served  years when i was released she was  and didnt remember me many many sad memories came from my having to leave her visit after visit having to leave her in texas to travel back to louisiana she doesnt remember that i do
over the years i thought we had developed a close mother daughter relationship she gave me good reason to doubt that on several occasions but especially last year i have been cruel to her verbally and to my son who i met years after giving him up for adoption last night i was angry at the world and afraid of god i drank and cussed out a maintenance worker for not doing his job  months running now im not only feeling guilty for that but afraid of being evicted now help",parentingsubstance abusespirituality,was either parent abusive or violent toward youyou sound to have suffered emotionally in your relationships since early in lifeone point to consider is to strive for moderation in what you offer in relationshipsa lot of what youve lived through is extreme either as victim or perpetratorif you imagine that apologizing to the custodian for the way spoke to him would calm him down do soat the very least youll be actively resolving your guilt over cussing at him and fear of his retaliation,1,1,490,T,0.7609021067619324
242,601,is this something i should be worried about should i do something about it,parenting,i recommend asking your son about the reasons he chooses to play alone at recess if he is happy on his own and you know he has some friends i would not be very concerned however there may be bullying going on at school in the case of bullying it may be a situation where you as his parent will need to step in,1,1,309,T,0.7092913389205933
246,1100,hes lied about his pastpresent situations since time has passed he has changed but i still have my doubts i have no idea if i should stay or go but i hate this feeling i dont trust him all too much but yet he hasnt done anything for me not to trust him recently,intimacy,your doubts about your dating partner need to be addressed and solved so you can fully believe him againotherwise how would you actually know whether hes lying to you now or notstart the conversation with him about wanting to trust him and asking for whatever details you feel will give you confidence he is telling you the truthif he really wants to clear your doubts then he will be willing to invest in answering your extra questions or wanting to look through his phone or whatever areas you felt were violated by him in the past,1,1,533,T,0.7985655069351196
254,1588,i had a dispute with my therapist regarding an appointment cancellation now she is blocking me from seeing other psychologists at the same clinic which takes my insurance which is also where i get my psychiatric services there is a strict  hour cancellation policy and my appointments are at  on tuesday i called to cancel at  the previous friday i was late so we contacted my doctor to tell her that i would be out of town she said i could do a phone in session the thing is we do double sessions,legalregulatory,my recommendation would be to try to talk to your therapist about this  from your description it sounds like you have a legitimate explanation for missing your scheduled session maybe if you could explain that to her she would be willing to work with you if she is not willing to consider your explanation and if she is not willing to continue working with you she still has an ethical obligation to provide you with referral resources to another therapist,1,1,456,T,0.8071098327636719
256,2132,"i need answers to my anger possessiveness and urges
i am angry all the time i push people away so much that i actually blow up on people now because they ask me how my day is or was i have a possessiveness to someone who is not even mine i have these urges to hurt someone really bad i want to see them beg for me to stop hurting i want to hear their agonizing painedfilled voices what is wrong with me",anger managementsocial relationshipsrelationships,what result are you hoping to get from the behaviors you describemaybe start by comparing the results you see yourself receiving from your current interactions with how you would wish to feel from relating to otherssince you ask what is wrong with me there is a disconnect between what you are doing and what youd like in returnthis is true even with imagining doing harm to otherswhat are you really trying to accomplish for yourself by hurting othersbesides the unethicalness and criminality of this and legal consequences of arrest for such behaviors what gain which is not evil do you expect from overpowering and imagining you control another human being,1,1,659,T,0.8153631091117859
258,2535,"she refuses to talk to me and told my mom her grand mother that she is remembering things from the past i dont know what to do my daughter blames me and swears she hates me

my parents say i should just let my daughter live with her dad but i dont see how i could fix things if i only see her every other weekend what should i do",family conflictparenting,sorry to hear about your high degree of stresshow old is your daughterwho abused yours daughterthe answers make a difference to your decisionobviously if the father was the abuser then unless your ex demonstrates to you and you believe he will not abuse her your daughter should stay with youif someone other than the father was the abuser and the father has a good relationship with your daughter then it is possible that the time away from your household will give each of you time away from arguing with one anotherwhat does your daughter tell you she wantsher wishes must be considered toorelationships can be fixed   sometimes being apart helps this process because the two people each have time to reflect more deeply on what they value about the other,1,1,758,T,0.5456758737564087
263,840,does this go against any ethical codes are there legal ramifications,workplacerelationships,generally the ethical codes only prohibit relationships with clients there are however a few types of counselortocounselor relationships that are prohibited by the ethics codes such prohibited relationships include those between supervisors and supervisees between professors and students or any time the relationship might negatively impact your or their clients lastly some workplaces have rules against dating coworkers it would be a good idea to check if there is such a rule that applies to you,1,1,499,T,0.6494093537330627
272,977,were in an eight year relationship my boyfriend drinks a lot he experienced childhood trauma i dont know how to deal with violent outbursts,angermanagement,you shouldnt need to educate yourself on violent outbursts  he is the one in the position to change his violent outbursts   they are his behavior not yours  all youre trying to do is have a relationship with this guythe one task to do is during a quiet time to tell your boyfriend the way you feel about his outburstshis answer whether he denies having a problem blames you for his problem tells you the problem isnt so bad why are you complaining tells you a lot about his willingness to changewhether or not he considers himself to have a problem and wants to change himself is very good for you to knowthis tells you what to expect from him in future   you can reflect and plan ahead for your own life depending on your tolerance and willingness to live with what he answers you,1,1,781,T,0.6188244223594666
273,462,ive been having horrible anxiety for the last week i cant sleep i get a sense of doom and its hard to breathe i feel like nothing i do makes it better,anxiety,anxiety is usually a sign of a current problem to which familiar emotional patterns of feeling similarly upset attach themselvestry to understand more about who you are what you like feel uneasy about especially your deeper emotions of being emotionally harmed or injured by meaningful peopleanxiety is best addressed indirectly by understanding and kindly accepting previous hurt and fears from long agoonce you feel at ease with dynamics of past situations then the current anxiety will decrease  this is because you will have adjusted and found new ways of handling otherwise frightening and overwhelming interactions and involvements with others,1,1,649,T,0.5973517894744873
276,2678,"a few years ago i was making love to my wife when for no known reason i lost my erection 

now im in my early s and my problem has become more and more frequent  this is causing major problems for my ego and its diminishing my self esteem this has resulted in ongoing depression and tearing apart my marriage 

i am devastated and cannot find a cause for these issues i am very attracted to my wife and want to express it in the bedroom like i used to 

what could be causing this and what can i do about it",intimacyhuman sexualitydepressionrelationships,first step always is to do a medical rule out so that youre sure the problem is psychological and emotion based not a medical condition which requires care and attentionif you are medically clear in the reasons for losing your erection then reflect on what may be creating a loss in confidence in either who you are and what youre doing with your life or whether your wife has these sort of problems within herselfoften a problem transfers ownership of who shows itif you are a sensitive person its possible your erection problem reflects your wifes insecurities and selfdoubt  if she is someone who is reluctant to talk about feeling unsure then in a certain way by you showing a problem she can avoid looking at herselfthere may not be a direct cause such as usually exists in a medical problemmedicine looks for symptoms to treatour emotional lives are much more indirectif you feel stress at work or are unhappy in the place you live for example then your frustration may show up in your sex lifebasically do a broad inward search of your life and what it holds and maybe ask your wife to do the sameyou may clear the air within yourselves and between each other so the problem goes away,1,1,1191,T,0.5399712324142456
280,2677,"im concerned about my  year old daughter 

about a month or two ago she started walking on her toes as well as coloring and writing very messy this all happened very suddenly she has never walked on her tiptoes and has always colored and written very neatly 

is this something i should be concerned abou any advice will help",parentingchildren  adolescents,have you asked your daughter why shes doing the behaviors you describeoften the best way to find out why someone does something is to simply ask them their reasonher answer will give you some guidance as to next possible stepsif shes pretending to be a fantasy figure or trying to find out how being taller feels or walking on high heels or some other image then knowing this rules out that she has some unbearable pain in her arch which may require more practical answers such as new shoes or even indicate a medical problemask if shes noticed any change in the way she walks   maybe she doesnt know shes doing this and maybe she feels embarrassed to tell you shes doing something a bit oddsince usually  year olds dont color is it new that she started coloringmaybe given the fact of messy handwriting shes in a phase of pretending or reflecting on good times as a young childthen this becomes the topic of examinationdoes she feel insecure about being on the cusp of adolescencesome of these questions can be asked directly and some are for you to first decide based on what you know of your daughter which questions and what direction to take in understanding your daughters motivation,1,1,1189,T,0.8541584014892578
287,447,i have a bad habit of thinking and worrying about what others may think of me i really want to stop it and enjoy things,anxiety,thinking about what others think of us is a natural tendency human beings are social creatures and rely on feedback from the outside world of people places and things to let us know more about ourselves we also have an inner voice dialogue conscience etc that helps us to determine the path for us often when someone is worried about the external feedback and focuses on this as the sole source of information it can create a dependency that can become problematic balance is key to so many things in life your own voice is powerful and has strength to provide you the enjoyment you seek dont discount it and rely only on the voices of others,1,1,642,T,0.7130043506622314
289,1587,they discontinued treatment for no apparent reason after they thought to diagnose me with schizophrenia,legalregulatory,the general rule against medical abandonment says thst whenever healthcare providers discontinue treatment with you when you still need it they are legally required to make sure that you have access to another provider of equal or higher abilityin this case if your treatment team decided to discontinue your treatment based on a diagnosis of schizophrenia they still will likely be required to provide you with a referral to someone who can provide you with treatment if you havent already done so id recommend that you explicitly ask for a referral,1,1,550,T,0.9222273230552672
296,810,my husband and i got into a huge dispute he said he wanted a divorce and i left i still come home a lot and see my kids and he has not filed yet even though he still said he is what does that mean for our marriage,relationshipdissolution,in any relationship including marriage each partner will be better able to do their part by understanding their own interests and wishesconcentrate more on what youd like from your marriage  this will naturally raise the questions and criteria of what to talk with your husband about and what to ask of himthink over whether you wish to divorce or notsince he hasnt taken any action then for the moment you can assume he is not sure of what he wantsonce you feel a little more clear on your opinion about your marriage including feeling uncertain if youd like it to end or continue then you will be able to tell your husband the suggestions you have for resolving the dispute matter and emotionstry to redirect your speculations about what does he want i wonder what hes thinking back to answering these very reasonable questions about yourselfthis will strengthen your own purpose in clarifying where to start and guide a discussion with himgood luck,1,1,951,T,0.5510591268539429
