,question_text,topics,answer_text,q_token_count,a_token_count,a_text_length,tf_type_zero_shot,tf_score
1963,"my therapist is gay so there are no sexual issues here however my therapist for six years has made me believe that he cares about me and that we are friends i have loaned money to him many times and he always paid me back

i had a medical emergency last weekend and i was heavily medicated i knew that this therapist came into my home and wrote down my credit card information so he could pay back what he owed me but this therapist dropped me off and never came again  i dont know what to do",professional ethics,im sorry to hear that this has happened counselors are legally and ethically required to make sure that they always put the wellbeing of their clients above their own interests in addition counselor ethical rules and the laws in just about every state make it illegal for counselors to take advantage of a client financially a counselor borrowing money from a client even if the counselor pays it back would usually be considered to be taking advantage of the clientthere are a few options you have at this point if you cant or dont want to continue to try to contact him directly you can file a complaint with your states regulatory board and let them know what has happened  an investigator will then look into the situation for you  another option would be for you to find a different counsleor who can provide you with an independent and netural point of view to help you figure out how you want to handle this situation,1,1,924,T,0.7664909362792969
2470,sometime when small thing happen like losing a comb i get furious  i even start throwing things do i have a problem,anger management,anyone who asks whether or not they have a problem usually feels at least partly that they do have a problemyour answer to the question is what matterssince you already understand that your reaction is overstated to the events which trigger them the reactions youre having are more than likely anger that is leftover from past events either in the near or distant pastbe aware consider reflect on  how you usually handle feeling angry  based on your description here it is quite likely that the anger you show toward what you call little things reflect anger at much bigger matters that are uncomfortable and not easy to understandknowing more about the more significant matters causing frustration for you may very likely decrease reacting angrily toward smaller matters,1,1,771,T,0.5169387459754944
1268,i have a mother who is still running my life even though im almost  years old i want to move out and live my own life but it feels like as long as i do what my mom wants our relationship is okay its never okay if i dont do what she wants    i dont know how to start making my own decisions and not worry about whether its right in her eyes would it help for me to talk to someone about this,familyconflict,if the only way the relationship you have with your mother feels okay is when she is the only one who makes decisions concerning your life then this only seems okin fact it is not okay for one person to be the authority for another person unless the one for whom this is being done does not have their own ability to think for themselvesseparating your own wishes and way of handling life matters from your mothers point of view may be difficultfirst realize you need to get familiar with feeling at ease with the idea of deciding matters for yourselfyoull need practice until you feel comfortableunless if youve been thinking through decisions youd like to make and the idea of your mothers anger is the only point which stopped you then you may almost instantly start living in a liberated way of running your own lifebasically it is right and fair for you to have the chance to live your life the way you feel is best   be prepared that your mother may disagree with you and that her disagreement is not a reason itself to not do what you believe is in your best interest,1,1,1074,T,0.5551788210868835
1147,my partner and i have had an amazing relationship and connection for over two years were very committed to each other and are planning a very long life together however he recently was very open and honest that he isnt interested in having sex with me anymore he says this has happened in every past relationships and has ended it as a result he knows its because its the same person feeling but how can he get over this,intimacy,i wonder how long anymore will be for your boyfriendsince you both are planning a long life together instead of his custom of ending relationships when he feels bored with the sex he will be facing the situation of being in a relationship and not having sex with his partner to whom he is committedwhat are your own views on the meaning of sex in a relationshipknowing this will help you be better able to collaborate with your boyfriend on finding ways of balancing what you each would like,1,1,491,T,0.7991546392440796
817,"i am in a high stress position for a tech company i am being overworked and underpaid for my contributions and it is not only giving me anxiety but also demoralizing
   what can i do to manage my stress",workplacerelationships,i am curious what makes you stay sometimes managing stress is only a band aid to a bigger problem when you ask yourself what your life would look like without this stress what do you see we can easily talk about coping strategies for stress mindfulness deep breathing meditation journaling exercising etc all of which may be things to help manage your stress hearing your sentiments above i am being overworked and underpaid for my contributions i wonder if the stress is more resentment and if managing is really the solution,1,1,526,T,0.5238168835639954
1066,nothing weve tried has worked so far,intimacy,probably what you should do is decide whether you can continue having a romantic and sexual relationship with someone to whom you dont feel like having sexfive years is long enough to know that the way you feel toward your partner is more than likely going to remain this waytalk with your gf about your feelings because she may not wish to be in a relationship in which her partner is not sexually attracted to her,1,1,415,T,0.5443361401557922
654,shes in her early s and she has a toddler,parenting,well first lets identify what factors are involved in the situation about which you wroteare you the only decision maker regarding your stepdaughter living with youis her dad and your partner living under the same roofwould you feel any obligation to consult with your husband about his opinion and his way of handling the situationhave you talked with your stepdaughter about your observation and your reaction to the fact of her not honoring your boundariesconsider too that there will be an effect on the toddler your grandchild if you kick out your daughteris your daughter financially ready to live on her own and support herself and her childyou certainly have the right to define the terms of what goes on under your roofit is only fair to everyone that as many variables as possible be consideredthe conclusion may be that it is in everyones best interest for your stepdaughter to move outif everyone feels respected and a well thought out plan is developed then the least amount of hurt and stress and the most amount of happiness will be possible from this change,1,1,1073,T,0.7505375146865845
493,sometimes im fine and can go out or meet people but other days my heart races and words physically cannot come out of my mouth ive always thought it was normal and i was just nervous but the other day it took me almost  minutes of sitting in my car to find the courage to enter target by myself,anxiety,it is possible that you could have or be developing an anxiety disorder there isnt really enough information provided here to suggest a particular disorder but it might be worth meeting with a counselor or therapist to do a formal assessment some of the questions they might ask could be what other kinds of physical symptoms you experience how frequently these physical symptoms happen whats going on for you when they tend to happen and how frequentlyintensely you find yourself worrying in general anxiety itself is a really natural thing  its just when it starts interfering with your ability to do life the way you want that we start to consider potential disorders it might be that for the most part the anxiety you feel is normal and you simply have some triggers that intensify it more than usual working on your own or with the support of a counselortherapist to both address those triggers at the root and also to develop ways of managing the actual anxiety symptoms this twofold approach can be really helpful for not letting anxiety keep you from engaging in life the way youd like,1,1,1093,T,0.5950623750686646
659,i am in my s with  kids and no job and im behind on the bills ive been trying everything with no results i feel like everyone else puts their needs in front on mine i give intil it hurts and im afraid that im going to fail my babies    ive been struggling for  yrs in a relationship with no communication and no alone time how can i get some support,parenting,financial stability is probably a good place to start your new life projectif your partner doesnt work or doesnt contribute his money to the household bills then maybe you are eligible  for some type of stipend from the governmentespecially since you have kids the child welfare service may intervene to help you  sometimes too a partner who is unwilling to pay for their kids wellbeing may be pressured by child welfare to make regular contributions to you and your kidsim glad you are thinking of your needs and those of your kids  this is the philosophy which will show you what road to follow so all three of you are in a secure financial place,1,1,648,T,0.9081723093986511
1022,i love my girlfriend so much i get an erection even just thinking about her or seeing her but the two times we tried to have sex i couldnt get an erection weve only had sex once and it was a long time ago    why this is happening and what can i do about it,intimacy,sexual desire seems to be straightforward  i like someone and i become aroused at the thoughts of being intimate with them  but that idea does not always take into account other factors stress can have a huge effect on our body and how it performs  when we are overstressed for example we often find ourselves ill at the same time  can you think of any part of your world that may be causing you some additional stress additionally focusing on your erection may also be increasing the level of stress you feel about being intimate which could also effect your ability to get and maintain an erection  while this may seem counter intuitive it makes sense in the word of stressfinally its never a bad idea to follow up with your doctor as well you did not mention your age or sexual history outside of this relationship but it is always a good idea to check in with medical staff to make sure there is nothing physically responsible for changes in our body as well,1,1,962,T,0.7660634517669678
1492,we have been fighting a lot and have  kids but we both want to stay together i need some help to save our family,relationships,hello i do not live in the california area however perhaps i could make some suggestions as to where you might look for free counseling first i must mention that most insurances now cover for many different types of issues including family issues if your girlfriend lives with you most insurances now cover livein partners as well if you have insurance contact your policy provider and ask whether or not couples counseling is includedaside from insurance the next place that comes to mind is a religious affiliation do you belong to a church or other religious organization many of the pastors or leaders in these disciplines have significant training in counseling as well as assisting with marriage and couples counseling these services are ordinarily offered free of charge to membersanother option might be to explore support groups within the area there may be a group in the form of a couples support group that brings couples together to explore their relationships in the safety of the group if you find there are no such groups in your area there are anonymous support groups online here is one such site httprelationshipsupportgroupscom,1,1,1147,T,0.6376040577888489
646,she cried because she lost all trust in me now i feel disgusting and like my heart just got stabbed what do i do,parenting,you felt bad when you lied so you told the truth  i imagine your mom was really shocked and upset  both of those things tell me you are a pretty honest person  its possible that your mom had a big reaction simply because she has learned that her child from whom she always assumed honesty was capable of being dishonest  thats not awesome but its not the end of the world  you made a mistake  youll make more of those in your life just try not to make the same ones over and over againit sounds like you and your mom are close so i can see why it would feel so awful to have her distrust you  since you are a fundamentally honest person the way back to being trusted is going to be simple but may take a little time  the recipe is easy  say what you are doinggoing to do do only that unless change is necessary in which case you inform others involved and repeat  and cut yourself some slack  your mom will recover and so will you  its an important and painful lesson about integrity but once learned it will serve you well,1,1,1023,T,0.6498837471008301
1112,im trying to make marriage work after a split before our split he lied a lot and broke every promise to me i dont think he cheated last month i asked what women work with him so he told me yesterday i found out about a girl that he said he forgot about should i be upset,intimacy,imagine your best friend just told you that her husband lied to her all the time and that he had broken every promise he ever made to her what would you tell her if i were her best friend id tell her to run the other way you may love this man we dont choose who we love but the evidence is pretty clear isnt it a healthy relationship cannot be built on a foundation of lies and broken promises i believe that as adults we are always treated as well as we insist on being treated by our partners if you continue to accept unacceptable behavior you are likely to see lots more of it,1,1,580,T,0.6478003859519958
1083,shes busy because her mom makes her clean all the time and go out places with her family we dont talk much because of it also we have little fights we want to work it out but we dont know how,intimacy,maybe your girlfriend feels torn in her emotions between loyalty toward her family and toward investing herself in a relationshipthere are so many maybes that the best way to strengthen your relationship is to ask your girlfriend if she feels any pressure from her family to avoid involving herself with youif the answer is no then continue to talk with each other as to what would make you each feel more secure with one anotheralso more simply are the  two of you able to resolve the little fightsdifferences of opinion are normal between two people even to the point of each person feeling they are the only one who knows the correct answeras long as each one of you has the goodwill to give a little then the fights are a healthy way to respect and care about each otherif the fights are about the same topic which repeats itself then there are strong differences between the two of you including the possibility that her family places and she is willing to accept some obstacle to this relationship,1,1,1003,T,0.5654771327972412
1163,im a  year old male and having erection problems still have the desire for a woman awfully frustrated any suggestions my doc doesnt want to discuss it,intimacy,when a doc blows you off it may be a signal that it is time to find a new one ed can often be caused by health issues if all physical possibilities are ruled out then its time to look within and enlist the help of a sex therapist heres a good article for you to start with,1,1,272,T,0.5594090819358826
708,im a teenage girl and i feel very bad about my weight i dont know how to make it stop,selfesteem,one way may be to take some sort of physical movement class in which you will be regarded by the teacher as one of the students not the girl who weighs a certain amountin a movement class such as pilates yoga aerobics weights dance when the standard for clothing is somewhat fitted and shows more of our physical bodies than regular clothing and to be considered as one of the students not stigmatized for how much or how little you weigh may help you be as accepting of yourself as the teacher is of you,1,1,504,T,0.7841010689735413
507,i am so terrified of having sex anymore because i have been told over and over that sex is dangerous even though me and my partner used both forms of protection my partner is not happy about this and simply wants more sex and honestly i want to give that to her,anxiety,i would suggest possibly talking with a physician about all the different types of protection they may be able to help you to know about all of the options that are availableit sounds like your partner is open to understanding your concerns perhaps until you have the chance to speak with someone about the effectiveness of different contraception and forms of protection are either of you open to other forms of engaging in sexual intimacy without penetration but with use of vibrators toys designed for sexual interactions etc,1,1,528,T,0.8037996292114258
1304,"i am having a problem with extended family members who are inappropriately urinating in my home they are peeing in cat litter boxes bottles and directly on floors and in corners of my house
 is there any literature that supports why such adults would behave this way this is not a joke i am trying to understand",familyconflict,hi this sounds like a very challenging and upsetting problem  good for you for reaching out my first thought is these two adults may have a sleep disorder that could be contributing to the urination in inappropriate places since they are adults and you cant force them to seek treatment  you might be able to suggest that there could be an underlying medical issue and advise they speak with a medical provider  as far as what to do for yourself  set some firm boundaries be clear about the expectations of your home also include the positive and negative consequences should they decide to address or avoid this issue i hope this helps you your family members and the pets,1,1,673,T,0.7735346555709839
248,i have been dealing with depression and anxiety for a number of years i have been on medication but lately my depression has felt worse can counseling help,depression,my initial response  consider a more comprehensive mh assessment to determine other factors a medical evaluation is warranted to rule out poor health issues blood work is helpful review what hadnt helped,1,1,203,T,0.9391464591026306
1294,she is living with her boyfriend of seven years he is in therapy for depression and social anxiety he hasnt worked in all this time,familyconflict,congrats on your upcoming grandchilddoes your daughter want you to break news of her pregnancy to the familytalk with your daughter first whether or not she would like you to tell other family membersalso given the other facts you mention in your post if household and financial management are areas you feel your daughter is vulnerable then bring up these topics toostay open minded about your daughter having views which are different from yours,1,1,447,T,0.6730563044548035
1306,i started dating a guy i met online he told me that he registered sex offender but he didnt do anything he took a plea to always register as sex offender and he did two years that was more than two decades ago nothing on his record since i always believe the past should be left in past but my roommates their family and my son are unforgiving should i forgive this man that im falling in love with or should i dump him if i stay with him i will never see my family and granddaughter again,familyconflict,thank you for your question trust is a huge thing in relationships and when that is broken or perceived as being broken it takes a long time to repair from what you shared it sounds like your boyfriend took steps to correct the situation and has shown to be trustworthy since unfortunately no matter how much we apologize for something we did or for something others perceive we did there will always be those with hardened hearts and will not forgive if you feel confident in your relationship then trust your inner wisdom we cannot control others but only ourselves respect your families wishes to remain in unforgiveness while at the same time ask them to respect your wish to believe in him and be in this relationship good luck to you,1,1,739,T,0.5402452349662781
1441,we had great chemistry but then he became distant i had the feeling that i cant be without him as soon as i felt the difference i was scared to lose him i started freaking out if he did not answer thinking that something bad happened,relationships,the simplest answer is that love feels good obsessions dontlove deepens a sense of peacefulness and securityobsessions give anxiety and worry of feeling abandonedone suggestion is to study more about yourself and why youd feel so ill at ease when you arent w this person,1,1,270,T,0.6253762245178223
1126,im in a relationship with my childs father im a really jealous person we dont go out or do anything with other people because of me to keep our relationship going i know i have to stop being jealous but i cant how can i get over these issues,intimacy,it may be important to look at this as getting through something rather than getting over it if youre aware of the reasons why you are jealous i dont know if they relate to this relationship or a previous one but you could remind yourself of the differences if your feelings of jealousy relate to something from your pastalso it may be beneficial to have a conversation with your childs father if you are both open to having a discussion about this in a way that you summarize what each other is saying so you are sure that you are understanding each other at least to some degreealso consider what you may want from your childs father to assist you with this you cannot make him do anything to support you with this but you can certainly askwhat is something you could start or stop doing to move you toward your goal,1,1,818,T,0.6092172265052795
1952,"she was raised by her abusive father and his wife  years ago i shot and killed my rapist and was convicted in louisiana i lost custody of my daughter and served  years when i was released she was  and didnt remember me many many sad memories came from my having to leave her visit after visit having to leave her in texas to travel back to louisiana she doesnt remember that i do
over the years i thought we had developed a close mother daughter relationship she gave me good reason to doubt that on several occasions but especially last year i have been cruel to her verbally and to my son who i met years after giving him up for adoption last night i was angry at the world and afraid of god i drank and cussed out a maintenance worker for not doing his job  months running now im not only feeling guilty for that but afraid of being evicted now help",parentingsubstance abusespirituality,was either parent abusive or violent toward youyou sound to have suffered emotionally in your relationships since early in lifeone point to consider is to strive for moderation in what you offer in relationshipsa lot of what youve lived through is extreme either as victim or perpetratorif you imagine that apologizing to the custodian for the way spoke to him would calm him down do soat the very least youll be actively resolving your guilt over cussing at him and fear of his retaliation,1,1,490,T,0.6510909199714661
601,is this something i should be worried about should i do something about it,parenting,i recommend asking your son about the reasons he chooses to play alone at recess if he is happy on his own and you know he has some friends i would not be very concerned however there may be bullying going on at school in the case of bullying it may be a situation where you as his parent will need to step in,1,1,309,T,0.6763908267021179
1100,hes lied about his pastpresent situations since time has passed he has changed but i still have my doubts i have no idea if i should stay or go but i hate this feeling i dont trust him all too much but yet he hasnt done anything for me not to trust him recently,intimacy,your doubts about your dating partner need to be addressed and solved so you can fully believe him againotherwise how would you actually know whether hes lying to you now or notstart the conversation with him about wanting to trust him and asking for whatever details you feel will give you confidence he is telling you the truthif he really wants to clear your doubts then he will be willing to invest in answering your extra questions or wanting to look through his phone or whatever areas you felt were violated by him in the past,1,1,533,T,0.6758895516395569
1458,i have several issues like i dont like people they make me sick i have issues with talking to people i feel like they are talking about me and making fun of me i have felt this way for years when i look people in the eyes i have voices that tell me to hurt them and if i dont stop looking at who i am talking to it gets so loud i cant hear what they are saying i just stay away from people to avoid this i look at people and think how i could hurt them i feel like i am worthless and would be better off not in this world where i dont fit in every day i wake up its like another day any info would be good,relationships,sounds like you are dealing with a lot within your self which is causing you great pain  i would suggest that first you get a full physical evaluation to make sure that you are ok physically  then getting a mental evaluation as well from a psychiatrist  seeing both would help rule out any physically or psychologically causes to your symptoms    after getting these evaluations your physician should be able to help guide you on what treatments would be the best to help with your everyday challenges your are facing  whether treatment includes medication andor psychotherapist would be discussed  please consider doing both immediately so you can have the live you want everyday you wake up,1,1,692,T,0.5915693044662476
1588,i had a dispute with my therapist regarding an appointment cancellation now she is blocking me from seeing other psychologists at the same clinic which takes my insurance which is also where i get my psychiatric services there is a strict  hour cancellation policy and my appointments are at  on tuesday i called to cancel at  the previous friday i was late so we contacted my doctor to tell her that i would be out of town she said i could do a phone in session the thing is we do double sessions,legalregulatory,my recommendation would be to try to talk to your therapist about this  from your description it sounds like you have a legitimate explanation for missing your scheduled session maybe if you could explain that to her she would be willing to work with you if she is not willing to consider your explanation and if she is not willing to continue working with you she still has an ethical obligation to provide you with referral resources to another therapist,1,1,456,T,0.8586999773979187
2132,"i need answers to my anger possessiveness and urges
i am angry all the time i push people away so much that i actually blow up on people now because they ask me how my day is or was i have a possessiveness to someone who is not even mine i have these urges to hurt someone really bad i want to see them beg for me to stop hurting i want to hear their agonizing painedfilled voices what is wrong with me",anger managementsocial relationshipsrelationships,what result are you hoping to get from the behaviors you describemaybe start by comparing the results you see yourself receiving from your current interactions with how you would wish to feel from relating to otherssince you ask what is wrong with me there is a disconnect between what you are doing and what youd like in returnthis is true even with imagining doing harm to otherswhat are you really trying to accomplish for yourself by hurting othersbesides the unethicalness and criminality of this and legal consequences of arrest for such behaviors what gain which is not evil do you expect from overpowering and imagining you control another human being,1,1,659,T,0.6690554618835449
2535,"she refuses to talk to me and told my mom her grand mother that she is remembering things from the past i dont know what to do my daughter blames me and swears she hates me

my parents say i should just let my daughter live with her dad but i dont see how i could fix things if i only see her every other weekend what should i do",family conflictparenting,sorry to hear about your high degree of stresshow old is your daughterwho abused yours daughterthe answers make a difference to your decisionobviously if the father was the abuser then unless your ex demonstrates to you and you believe he will not abuse her your daughter should stay with youif someone other than the father was the abuser and the father has a good relationship with your daughter then it is possible that the time away from your household will give each of you time away from arguing with one anotherwhat does your daughter tell you she wantsher wishes must be considered toorelationships can be fixed   sometimes being apart helps this process because the two people each have time to reflect more deeply on what they value about the other,1,1,758,T,0.62042236328125
840,does this go against any ethical codes are there legal ramifications,workplacerelationships,generally the ethical codes only prohibit relationships with clients there are however a few types of counselortocounselor relationships that are prohibited by the ethics codes such prohibited relationships include those between supervisors and supervisees between professors and students or any time the relationship might negatively impact your or their clients lastly some workplaces have rules against dating coworkers it would be a good idea to check if there is such a rule that applies to you,1,1,499,T,0.5285109281539917
506,ive been dealing with this for years my mom thinks im overly emotional and refuses to offer any help like therapy or seeing a doctor shes seen me when im having a panic attack and just said i was faking for attention or that im a hypochondriac i just want to get better,anxiety,how old are youare you old enough in your state to have therapy without your mothers consentyour moms attitude toward you may be one significant reason on why you feels so much tension in the first placedont let her opinions and beliefs get in the way of what you know about yourselfare you in school and does that school have a guidance counselorwould you talk with that person about your difficult getting your mom to retain helping services for youkeep looking for local resources which will support you either directly or indirectly by advocating for your right to receive mental health care,1,1,595,T,0.70365309715271
2677,"im concerned about my  year old daughter 

about a month or two ago she started walking on her toes as well as coloring and writing very messy this all happened very suddenly she has never walked on her tiptoes and has always colored and written very neatly 

is this something i should be concerned abou any advice will help",parentingchildren  adolescents,have you asked your daughter why shes doing the behaviors you describeoften the best way to find out why someone does something is to simply ask them their reasonher answer will give you some guidance as to next possible stepsif shes pretending to be a fantasy figure or trying to find out how being taller feels or walking on high heels or some other image then knowing this rules out that she has some unbearable pain in her arch which may require more practical answers such as new shoes or even indicate a medical problemask if shes noticed any change in the way she walks   maybe she doesnt know shes doing this and maybe she feels embarrassed to tell you shes doing something a bit oddsince usually  year olds dont color is it new that she started coloringmaybe given the fact of messy handwriting shes in a phase of pretending or reflecting on good times as a young childthen this becomes the topic of examinationdoes she feel insecure about being on the cusp of adolescencesome of these questions can be asked directly and some are for you to first decide based on what you know of your daughter which questions and what direction to take in understanding your daughters motivation,1,1,1189,T,0.5297539234161377
681,my exhusband told my two adolescents that santa doesnt exist on the day before christmas they are desperate to hold on to the magic of christmas but i dont know if its right for me to lie to them and tell them that santa is real i dont want to let them down and make them lose out on those memories but i also dont want to lose their trust,parenting,well boise the cats out of the bag now isnt it i love that you want to help your kids keep the magic of christmas they must want that too if they still believe in santa into their teen years which is unusual i believe i wonder if they had already figured it out anywaybut they know now and your ex had the right to tell them if he felt it was best so its time to explain to them what a loving and magical thing it is that parents do and christmas can still be magical in so many ways really who says they have to stop believing in santa santa is very real as a spirit of surprise generosity and love,1,1,599,T,0.5339271426200867
1587,they discontinued treatment for no apparent reason after they thought to diagnose me with schizophrenia,legalregulatory,the general rule against medical abandonment says thst whenever healthcare providers discontinue treatment with you when you still need it they are legally required to make sure that you have access to another provider of equal or higher abilityin this case if your treatment team decided to discontinue your treatment based on a diagnosis of schizophrenia they still will likely be required to provide you with a referral to someone who can provide you with treatment if you havent already done so id recommend that you explicitly ask for a referral,1,1,550,T,0.8440921902656555
314,im in a state of depression right now who can i talk to ive been sick in a lot of pain and crying dont know where to turn,depression,first of all if youre sick and in pain have you seen your doctor if you have a chronic illness and pain this can often lead to depression and is very common youve taken the first step to dealing with it you can talk to your doctor even if your depression isnt related to your health he or she can either look at prescribing you an antidepressant or can refer you to a psychologist or psychiatristif thats not really an option for you there are also helplines local or national or support groups where people dealing with similar issues can talk to each other if you cant find any in your area newspapers usually publish this information there are online support groups as well,1,1,676,T,0.656501293182373
810,my husband and i got into a huge dispute he said he wanted a divorce and i left i still come home a lot and see my kids and he has not filed yet even though he still said he is what does that mean for our marriage,relationshipdissolution,in any relationship including marriage each partner will be better able to do their part by understanding their own interests and wishesconcentrate more on what youd like from your marriage  this will naturally raise the questions and criteria of what to talk with your husband about and what to ask of himthink over whether you wish to divorce or notsince he hasnt taken any action then for the moment you can assume he is not sure of what he wantsonce you feel a little more clear on your opinion about your marriage including feeling uncertain if youd like it to end or continue then you will be able to tell your husband the suggestions you have for resolving the dispute matter and emotionstry to redirect your speculations about what does he want i wonder what hes thinking back to answering these very reasonable questions about yourselfthis will strengthen your own purpose in clarifying where to start and guide a discussion with himgood luck,1,1,951,T,0.5262665152549744
1547,i cant understand what i pay attention to,behavioralchange,one way to concentrate is that if your mind starts to wonder then remind yourself to bring your attention backstart with short time spans of expecting yourself to concentrate  youll more likely succeed with concentrating with small time spans than longer onesonce you start seeing your success this will motivate you to try increasing the length to expect yourself to concentratethe task of selfreminding is the same whether for long or short time periodsalso before starting this exercise ask your medical doctor if the problem can be related to a physical health problemif there is then have the possibility ruled out that your difficulty concentrating comes from the mental ability to concentrate and not some medical reason preventing thisbefore someone can engage their psychological will there must be a clean medical body and mind with which to work,1,1,856,T,0.655473530292511
