,Unnamed: 0,question_text,topics,answer_text,q_token_count,a_token_count,a_text_length,tf_type_zero_shot,tf_score
76,1497,i havent uttered one word to my boyfriend in days now im over it and dont know how to approach the situation,relationships,in any relationship it is important to be able to say im sorry because it shows vulnerability and openness i recommend that you sit and have a discussion with him now that you are calm about why you were upset and how you would like to handle such incidents in the future if you find yourself becoming upset again i encourage you to take a  minute break and then come back to the conversation once you are no longer heated studies show that talking or discussing arguments are more effective once you have cooled down and you are more likely to hearunderstand what your partner is trying to convey,1,1,597,F,0.7048384547233582
77,733,im scared that i am with this man so i wont be alone he should be with somebody who deserves him if this is the case and i dont want to hurt him,selfesteem,while not wanting to be alone may not be the best reason to be in a relationship it is probably more common and normal a reason than you think  since you seem to care about your friend dont want to hurt him i imagine there are many other reasons that you are together  i suggest that you talk about this openheartedly with each other  the idea of being afraid of being alone sounds like an honest starting place  dont try to figure out whether you should be with him  just talk  the communication is likely to shine light on deepening connection for both of youin the meantime your idea that you dont deserve him is rooted in a core lie that you are telling yourself  you can read about core lies and much more in my book living yes a handbook for being human  check out wwwlivingyesorgbe easy on yourself  you are deservingmark,1,1,828,F,0.7063661217689514
78,672,her father and i have been dealing with this problem for quite some time now she is an adolescent and the problem is mostly food she is now overweight and we just dont know what to do anymore she can be disrespectful and doesnt listen to or respect what we say,parenting,i would be curious about there potentially being some emotional or physical trauma in your daughters history that she is struggling with physical trauma is usually easier to identify but emotional trauma can be feeling a lack of emotional connection in her important relationships having experienced bullying or some other emotional injury the fact that there are some defiance symptoms going on suggests that she might be in need of a safe place to process what shes going through and the potential issue with control or meeting emotional needs with food is also concerning i would recommend looking for a therapistcounselor who works with childrenadolescents in the area of addressing trauma for an assessment they may be able to ask the right questions to see whether trauma is truly the issue,1,1,796,F,0.9640170335769652
80,893,my good childhood friend died suddenly as a teenager i havent seen him in four years and havent talked to him in months yet somehow this hurts me more than i could ever imagine its been about three months since his passing and im still not sure how to cope with this,trauma,often people with extensive trauma have difficulty talking about it this lessens the impact of traditional talk therapy and there benefits there is a helpful therapy called emdr that is limited in the amount of talking and also has quick benefits for the reduction of symptoms for those who are in great distress you can also complete emdr therapy every day if you would likehave the means this can quicken the recovery time from these distressing life events,1,1,459,F,0.5249732136726379
82,1524,"im transgender i know i am but ive only told a few friends i know i cant tell my family because of previous conversations weve had they just wouldnt accept it
 my gender dysphoria is getting really difficult to deal with on my own i need some strategies for dealing with it what should i do",lgbtq,hi it can be difficult to handle such a transition on your own i work with clients to understand their needs and wants this can involve how to communicate effectively with friends family and other loved ones or learning how to have selfacceptance i strongly recommend speaking with a licensed clinician one on one to help facilitate the change you are looking for,1,1,363,F,0.6482884287834167
83,590,my dad makes me feel like shit and like im worthless he calls me names and makes me feel depressed i want to move out because i swear if i stay here im going to lose it what can i do,parenting,you are valid  your idea about i want to move out may be the key to putting some distance between you two and giving you the space you deserve also taking the power away from him and giving it back to yourself  do not base your worth on others opinions often how other people act towards us is more about them than us  other peoples opinion of you does not decide the sum total of your worth you alone do thatthis meditation could prove helpful   i am enough  guided meditation,1,1,477,F,0.546298086643219
84,953,he is verbally abusive when he gets mad he just yells at me at times i feel scared,domesticviolence,im sorry you are experiencing this and im glad that you are looking for help and support im not sure of all the details so take from answer what you can if you are feeling unsafe or scared in your relationship please know that there are non profit domestic violence services that can help and provide you some more support they can also safely plan with you if you choose to leave it seems that you might be feeling defeated and if thats the case a lot of domestic violence non profits provide free counseling if you are needing to talk to someone what you are going through can be overwhelming and your are taking the right steps toward healing,1,1,645,F,0.988736629486084
85,1638,im having a quinceañera and the girls dont like their dresses they never told me and now its a week away i dont know what to do,socialrelationships,how did you find out that the girls arent happy with their dressesdid you hear this directly from one of them or is this third hand information that someone else told you about one of the girls in your partythe answer matters because gossiping instead of directly telling you about a problem is a problem in itselfi suggest a conversation with the entire group of girls in which you tell them how you actually are feeling about their opinions about the dressesone topic you may consider bringing up is what everyone expects to get out of the party  are they coming because they like one another and wearing a dress in which the girl is happy is only one way of having fun togetheryou may learn a great deal as to the difference in values about a quinceaña among you and your friendsi hope youll have a fun party,1,1,811,F,0.531532883644104
86,976,i get angry and act out it scares my wife and child,angermanagement,yes you can  if you cannot control your temper who can  you have more power of your emotions thoughts and feeling than you are giving yourself credit for  if this is scaring your wife and child you need to get control of it immediately  try going to an anger management class  it will help to discover what is the root cause of your anger what triggers it and how you can controlmanage it  if you cant go to a class try self help books or even better yet counseling and support of a professional counselor,1,1,505,F,0.7542701363563538
87,1452,ive been with him for a couple months we will talk everyday and he will get mad over something i will say and not talk to me we have our great moments but i just need to focus on my personal situations and i feel he is slowing me down with that i still wanna be with him but not now,relationships,it sounds like youre pulling away instead of being honest if you really want to be with him why not now if you dont have time for a relationship why are you dating at alli dont understand the whole phasing out thing that people do these days or ghosting where you just stop talking and disappear i get the sense that this relationship isnt working for you but for some reason youre stopping yourself from being honest with yourself and him and just ending it in the early stage of a relationship the first year if it doesnt feel fabulous its a good idea to move on its not personal you dont owe this person anything they deserve someone whos totally into them and so do you and youre doing him no favors by hanging on to something thats not amazing or giving him hope that it might work better in the future sometime you dont have to slowly bow out it actually creates more hurt than gentle honesty maybe people dont know how to say itive decided not to continue with this i wish you the best life is too short,1,1,1010,F,0.8024563789367676
88,778,weve been seeing each other for six years she has a teenage daughter and she dont want to break the family up,relationshipdissolution,what changed that after six years you raise the question of what to do about this relationshiphad you hoped until now that she would leaveif this is so and she clearly told you she will continue in her marriage then the control is in your hands now as to how long you are willing to continue in the relationship as it is currentlyemotionally releasing from a relationship takes much longer than the time to simply announce your departure from itemotions change gradually whereas whether or not in real practical time the two of you will continue seeing each other is a clear and straightforward choiceif you decide your best interest is in leaving then do so  your emotions will take a while to catch upthis is difficult and painful to do only it sounds like staying is even more difficult,1,1,789,F,0.7667731046676636
90,1554,im a teenager and i get these really intense mood swings    my mood will be really high and ill think of something that i want to do when i start to make it happen i get irritated by other people if they intervene then if the thing i wanted to do doesnt work out i have these tendencies to blame other people for it not working out    can you explain whats going on,behavioralchange,mood swings and getting frustrated when things dont work out is totally normal sometimes we get tied to one thing we really want to do and it can feel pretty intense when that gets interrupted or doesnt work out this said youre coming to counselchat and so im guessing this is something that is pretty intense for you and something that you are concerned about if this is getting in the way of your life it may be worthwhile to reach out to a therapist or doctor to get some help with this and see if there might be something more going on while for most people frustrationmood swings is related to typical life and stress if very intense it can be a sign of a number of challenges ranging from anxiety to a traumatic experience to something like bipolar disorder where a persons mood and energy might fly so high mania that one feels like they can do anything but often become frustrated when interrupted note there is a lot more to bipolar disorder than this and this is certainly not a diagnosis wish you well,1,1,1012,F,0.8392806053161621
91,700,my grandma had a stroke and passed away recently i lost my home and job im looking but havent found a job ive been binge watching television and binge eating,selfesteem,wow you got hit with some serious stuff all at once work relationships and housingsecurity are major needs for us and to lose all that at once has got to affect you when things go wrong it is natural for us to look for blameand the easiest person for us to blame is ourselves put that with grief and youve got a recipe for feeling awful we can start feeling so low as to want to check out with things like food and tv as you described it can take time for us to move to selfforgiveness and selfkindness in order to start moving forward again i wonder what you can do right now to improve your situation i also wonder if you may be willing to seek counseling to help you work through some of this to help with your perspective and to assist in your grieving process just reading these  sentences i get the sense of you being a nice person i hope you can show that kind of kindness to yourself in your healing,1,1,907,F,0.9871604442596436
92,793,my husband and i are separated he says he needs some time apart he says he needs to get back the in love part of a relationship but doesnt want to lose me should i wait or start over new,relationshipdissolution,its not uncommon for relationships to go cold over time it is a matter of one or the other becoming complacent if you and your husband have been together for quite some time its likely that you are very comfortable and familiar with each other while this is a good thing in some ways it can also become boring and you run the risk of losing that in love feeling he is referring to couples simply become ambivalent for some of the couples i work with in my practice i find that helping to organize a time apart which i call a therapeutic separation can do wonders for the relationship i offer homework to be done during this time reading worksheets and individual counseling helps people learn more about themselves and what they desire out of their relationship it often times brings more appreciation for their partners when the pair comes back together we are able to push the reset button and begin a new chapter that is more fulfilling and exciting than before,1,1,964,F,0.7697657346725464
94,1560,my doctor seems to think i am in danger of having one i neglected to ask how this was different than an episode i have been formally diagnosed with bipolar type ,behavioralchange,i do not think there is such a thing as a psychotic seizure however there is something called a pseduoseizure or psychogenic nonepileptic seizure basically this is when a person shows signs of a fullon seizure such as falling and convulsing but they are not producing brain waves consistent with a seizure psedoseizures tend to be brought on by high stress emotional challenges and trauma history you can learn more here httpswwwncbinlmnihgovbooksnbk still the best way to now what your doctor meant would be to ask them ,1,1,521,F,0.5269956588745117
95,1401,im in a relationship with my fiancé and i currently found out that shes been cheating on me with a coworker i was very upset none the less i understand what she did was wrong but i want to spend the rest of my life with her so im willing to forgive and move on we have been together for a little over  years and we have a son at the beginning of our relationship i was unfaithful and she caught me cheating she forgave me for what ive done to her and since then i been completely faithful im worried about our relationship and want to move forward but its been very unsettling all i can think about is her with another man i dont know what to do or where to go for advice,relationships,im sorry for the stress and unhappiness stemming the problem you describetrust your instinct that there is more complexity to feeling good about being in a partnership than simply wanting this to happenin any relationship the complexities of each person combine   often people accept when this feels good and are lost as to what to do when natural human complexity doesnt match up with our partner in the way wed likea couples therapist would be able to help each of you talk about the factors motivating the cheating as well as clarify the reasons you each have for continuing to stay together the unique advantage of couples therapy is that each person is able to hear their partner talk out loud about themselves and their partnerthis is sometimes enormously helpful since our inner thoughts are often hidden yet very dominant in how we direct ourselves in relationshipssometimes the initial consult session offers enough new understanding that a second session wouldnt be necessary for a whilegood luck in finding your relationship happiness,1,1,1045,F,0.9753196835517884
96,259,i feel like i am internally screaming all the time externally i am calm but i have this intense unidentifiable emotion constantly i dont feel sad i dont cry a lot i feel rather emotionally distant other than the internal screaming it kind of feels like im a caged animal,depression,it is hard to make a definite diagnosis however i would say  that it could be and or a combination of depression stress ptsd etc  more background information would have to be needed  one thing i would say is that you really need to seek guidance from a professional to work through these symptoms  if what you described as a caged animal is released all the crying sadness and controllable emotions will come out  that would not be good when they do  get help before they do,1,1,474,F,0.887316882610321
99,1476,my exboyfriend and i met over a year ago we hit it off and fell in love pretty quick however he has trust issues and assumed i was cheating when i found out i was pregnant we had just broken up five months later i lost the baby and we did not speak for a few weeks now we are talking and he says he loves me but is afraid i will hurt him again i just want to know where to go with this because i love him so much and i want to get back to us being happy and a family,relationships,trust is essential in romantic relationships and it is common to have trust issues  because the stakes are so high if both of you are committed and willing to be fully honest with each other trust can be repaired and become stronger than ever i would encourage you to seek out professional help as it easy to get derailed by fear when trying to work things out in the absence of trust when fear takes over  we tend to become defensive and act in ways that makes it harder to trust one another in addition to getting professional support i would encourage you to learn more about building trust in relationships and deepening connection through accessing various online resources on relationships,1,1,695,F,0.738990843296051
100,263,i am going through a very hard time and im so depressed my parents are getting a divorce and a lot of bad things are happening i want to lull myself,depression,consider yourself quite normal for feeling overwhelmed and depressed about your parents divorce   this is the most natural way to feel at this timedepending on how old you are and whether you live under their roof  are dependent on their support and are either part of the decision or not of with whom and where you will live start considering these pointshow did you find out about the upcoming divorceare either of your parents reluctant to answer your questions or is it clear that neither of them want to talk about anything with youwhatever your fears and questions about your own future these are all real  it is necessary for you to know about your basic futureif you are living on your own and the main problem is your inner adjustment that your family structure is completely changing then probably a good therapist would be a great help to you now to clarify these tensionssending lots of good wishes for an easy resolution to your new path,1,1,950,F,0.8662217855453491
101,814,my wife is always accusing me of cheating and telling me that im doing things she finds disrespectful even when i dont mean it like that for example she gets offended when i call someone at work sweetheart i wish i had a penny for every time she accused me of cheating on her she doesnt and never will say she was wrong how do i get her to understand,workplacerelationships,here is the truth you will never get her to understand because that would mean changing her and we cant change other people we can only change ourselves i would recommend to take the time to self reflect on what exactly it is that you are doing that is contributing to the mixup you both have very valid feelings and those wont magically go away until you address the root problem which could be many factors i am curious to know more about past relationships the both of you have had and how that plays a role in your current relationship many times we dont realize how past relationships truly impact our current behaviors,1,1,624,F,0.6760483980178833
103,1960,i found messages between my boyfriend and this girl on social media he was asking her for naked pictures and then hung out with her once but nothing happened  i didnt find out about the messages until last month and that was six months after it happened  i cant trust him anymore and im just wondering if i ever will he admitted that he wanted to have sex with her but he didnt he was only talking with her because he thought we were going to have a break up my heart is completely broken i feel like im in competition with every girl on the planet for my boyfriends affection im afraid that he doesnt like me anymore but without me hes homeless and without a car i love him so much its been tearing me apart i dont feel pretty anymore though i dont feel good enough for anyone or anything i thought i knew him as well as i knew myself then all of a sudden my world was flipped upside down im still trying to figure out which way is up,relationshipsselfesteem,im sorry for so much stress in your relationship lifein what ways does your boyfriend express his commitment and positive feelings about you to youfrom what you write you feel more aggravation stress loneliness and insecurity than satisfaction by being in this relationshipdoes he care that you dont trust himvery often people stay in relationships from fear of knowing who they really are  the feeling is of needing a partner in a way that is similar to how a fearful child needs staying nearby a parentmy suggestion is to think over how much your sense of need for a partner may be preventing you from actually seeing the amount of love and investment in your relationship your boyfriend actually hasthese realizations are sometimes painful and frightening to understand especially if you grew up in a family that largely ignored or didnt adequately nurture you as a childa therapist for your self may be a good investment of time and cost in giving yourself a safe and trustworthy space to think deeply about your best interest,1,1,1030,F,0.9766290187835692
104,279,i stopped for a while but ive started doing it again its like an addiction the more i try to stop the more i want to do it ive tried doing some of the stuff they say to do like draw but it doesnt work,depression,ive heard people say that they cut themselves as a way to feel relief from different emotions youre also right that when you try to focus on just not cutting it becomes more difficult because its what you are focused on while that is still something to work on it may also be helpful to find something else you can do instead you said drawing doesnt work for you sometimes more physical activities such as doing a few jumping jacks can be helpful if you dont exercise it might be something to talk with your doctor about firstthe more you can learn about what makes you want to cut the easier it will be to find out what you could do to change that try talking to somebody about what you are feeling in addition to the urge to cut,1,1,730,F,0.5221701264381409
105,1924,when i ask him who he is talking to he tells me no one but it sounds like he is holding a conversation with someone i have even accused him of having a secret cell phone i ask so much i feel like i am losing it  is he trying to make me question my sanity or is he talking to himself,relationships,a rare topic  likely extremely troublesome for you i would need to have more background information on the two of you before beginning to offer any insight feel free to email mei would also like to add that aside from the reality of whether or not these conversations are actually occurring as your partner he should be just as concerned about something that is disturbing you to this level  partners need each others trust and support no matter who is right or wrong,1,1,467,F,0.9336468577384948
106,1135,i am a female and i am afraid of having sex i am afraid of disappointing my partner by being inexperienced i think he thinks im not a virgin i am also scared that he will be disappointed with my naked body i dont want my partner to think differently of me because i am afraid of having sex,intimacy,these fears are completely normal almost everyone has the same fears you do to some degree especially if they lack experience men also feel far more of these fears than you realize that can helpto remember that were all a little scared and looking for safety and approvalyou mention a partner but im not sure if you currently have one having a partner you can trust with your fears and who you feel safe with is so important when youre really confident someone cares deeply for you this can help the fears to go away or diminish how well do you know your own body getting to know how you like to be touched and how different touches feelgetting acquainted with your body yourself firstthis can help build sexual confidence in general our partners care less about our fat and wrinkles than they care about how we make them feel in bed being a generous lover who is confident enough to put fear asideironically this is what makes you good in bed but be patient with yourself your confidence will grow with experience and that doesnt have to happen until you are ready theres not rush ,1,1,1082,F,0.9270133972167968
107,1339,my husband and i wouldve been married for five years come june  our infant daughter just had her birthday shortly before he told me he wanted a divorce he has four other children three of which are from his first wife he decided to end that marriage when his youngest was an infant the children do not have a good relationship with him now he has another child from a woman he was dating he decided he didnt want to be with her anymore when the child was an infant    it seems to me that there is a pattern he easily detaches from relationships at the same time in the childs life but wants a relationship with them when they are older ive tried to research online but im not getting any answers he also has an unhealthy dependency on alcohol and does not believe in mental health disorders such as depression and bipolar disorder he also does not believe in therapy or seeking help from professionals is there a detachment disorder or some form of mental block he could have where do you recommend researching this,marriage,this sounds really difficult and i can understand your motivation to get to bottom of why this behaviour has occurred  especially if your husband who sounds like he is an exhusband continues to have a relationship with you and your children with that being said  relationships and mental health are very complicated and you are unlikely to find the answers you are looking for in order for someone to be diagnosed with a mental illness or in order for them to identify what leads them to fall into particular patterns in relationship  they would need to be willing to seek help and honestly talk about their challenges something that you say your ex is not willing to do  while it might be a relief to understand what is going on with him  it might be more comforting for you to get support for yourself in processing your feelings and everything that has come up for you as a result of his choices,1,1,898,F,0.9783369898796082
108,2028,"it takes me a long time to fall asleep id estimate about two hours i often have nightmares starting with being eaten by a monster and i often wake up frightened and unable to breathe

i believe i started losing sleep after breaking up with a girlfriend of  years also my fathers business went bankrupt and my mother has a chronic condition i was under a lot of stress and life lost meaning

after improving my life and developing a habit of running and exercise to release stress my symptoms improved however in the past couple months i started losing sleep again and having nightmares without warning how can i solve this issue",sleep improvement,"youre noticing that as you lie down to go to sleep there
is quite a bit going on which may be anxiety related it sounds like the
dreams and difficulty sleeping are reminiscent of previous experiences you had
around the time of your break up the difficulty with your fathers business
and your mothers health issues these connections to past events may be
important insights to continue exploring in addition to finding out more about
what your dreams may be trying to tell you there is no exact science to
dreams but many people find it fruitful to explore the content as it relates to
significant themes in their lives i think that exploring these issues further with
a therapist could help you resolve whatever is causing you the stress trouble sleeping and frightening dreams",1,1,777,F,0.5677626729011536
109,326,sometimes i cant stop thinking about life after death i was raised in a religion that teaches that we will live on forever either in hell or in heaven  when i think of living forever even if it is in heaven which should be good i feel overwhelmed i dont like the thought of living forever and ever and ever sometimes i just cant get the thought out of my mind and the thoughts lead to panic and anxiety  am i crazy i dont think these thoughts are normal,anxiety,you are having thoughts of an existential nature i am wondering what could be activating these thoughtsyour thoughts remind me of what st katherine  a catholic saintsaid about living in the now as if we were already in eternity when thoughts seem to be overwhelming it could be a sign to take a different perspective or use reframing which can help alleviate your anxiety,1,1,371,F,0.9750553369522096
111,2572,often times i find myself thinking scary thoughts and sometimes  i even scare myself into thinking that something bad is going to happen to me once it starts the thought continues going through my head and i cant get it out  how can i stop these thoughts,behavioral change,im sorry youre going through this problem of scary thoughts in your mindnone of us are able to directly stop thoughts from comingwhat is possible is to question their value accuracy and believabilitymaybe if you examine the thoughts which upset you youll be able to feel better by understanding that the thoughts are not very relevant to your actual lifealso another choice of what to do with the upsetting thoughts is to redirect them  when a stressful or frightening thought shows up in your mind give it a happy resolution   basically turn the fright into something pleasant or at least bearablei hope this helps you at least a little bit,1,1,641,F,0.7609173059463501
112,1396,im dating a guy i really love we have our problems but i could see myself with him long term but theres this other guy who ive had feelings for for awhile now he gives me butterflies when we talk and my heart beats fast when i see hes texted me which i never felt with my current boyfriend,relationships,there are different types of attraction  you said that youve never felt this sort of feeling of your heart beating faster with your current boyfriend depending on how long youve been together and if youre looking at different ways of making a life together and getting to know each other on a deeper level thats a different stage in a relationship and sometimes it feels different some people look at it as a difference between levels of passion and compassion but there are many different terms to try to talk about itperhaps with this guy that you really love you could talk about ways to keep things new and different in the relationship maybe you can leave notes for each other during the day or have a small surprise at random intervals maybe an invitation to a picnic for exampleas for the other guy who makes your heart beat faster what do you see in him you said you really love the other guy which is why im askingwhat do you look for in the person who you want to be with longterm whoever that is,1,1,1006,F,0.7050072550773621
113,1148,we got into arguments and we would break if off but start it back up again we clicked or so i thought we are both married with problems in our marriage we never have sex we just send a lot of pictures back and forth and talk about doing things together his wife found out and he lied to her and didnt even refer to it as an affair i cant stop thinking about him we just click ive been married for  years and ive never liked anyone other than my husband now i like him and well never be together,intimacy,if you will never be together and in order to maintain this affair you need to deceive both of your spouses it seems unlikely that maintaining the affair will bring anything but heartbreak for everyone involved there is obviously something that you are getting from this that you are not getting in your marriage maybe this is a cue that there is work to do on your marriage to try to make it more fulfilling and if that is not possible then maybe you want something else for your life  if you and your husband are willing i would encourage you to do some therapy or counselling together  you may enjoy this article to learn a little more about some factors that lead to connection or disconnection and that predict separation and divorce,1,1,738,F,0.549861490726471
114,1151,i have been married for  years he and i both cheated i hid my cheating for  years over that time i let life stress me out i became depressed when i finally woke up he felt i had pushed him out,intimacy,do you both want to fix the marriagethe relationship belongs to both of you so that one working without the other cooperating in this work too will have one person who does all the changingthis dynamic itself creates problems of its ownabout your husband telling you he feels pushed out did he do anything on his own to address his problem of feeling like thisall you state is that he blames you for creating a situation he didnt likeif he did nothing because he felt unsure what to do anything which shows he understands he has as vital a part in the marriage as you is okbecause affairs create mistrust between two people the two of you would also need to be very aware to regain each others trusttalking as much as possible so you both know what goes on in the life of the other how you each are feeling what matters to you is helpful to grow a new foundation for your marriages future,1,1,888,F,0.5729468464851379
115,949,my supposetobe father told me to go find my real dad we havent been getting along since i was a teenager if i said one thing that he thought was wrong i always got degraded he never said i love you he never gave us hugs hes always called me horrible names i feel hes an evil man with no feelings,trauma,hi louisiana you got it righthes supposed to be your father its tough enough being adopted unless im reading it wrong i think youre adopted what you dont need is to be verbally abused by someone whos supposed to love and protect you i dont know how old you are past teen years though or where your mom is but i bet there are other people in your life who treat you differently its your right to spend your time with the people who love you properly thats a really important part of learning how to be happycarefully choosing whos going to be in your life its tricky to put emotional distance between you and your supposedtobe father but its possiblephysical distance avoid him if you dont trust youll be treated with respect and emotional distance feeling less connected to and affected by his relationship disability i think youre already doing that part because you dont blame yourself for his words which is wonderful i dont know if hes evil although i believe evil exists but he may be incapable of loving properly or lacking empathy as you suggest a good therapist can support you in these goals i wish you the best in your growth as an independent adult ,1,1,1160,F,0.9479713439941406
117,460,i have these dreams of men and they always seem to try to hurt me its gotten so bad that i first wake at  then  and finally stay awake by  im always the last one to fall asleep and the first to wake i hate falling asleep the longest ive went without sleep is three days,anxiety,that is awful i am sure you are ready to start getting some rest its normal for us to wake a few times in the night however when we are dealing with high anxiety or stress those times can turn into being up most night given that you are having these repeated dreams i am wondering what might be going on in your life either now  or in the past that could be triggering stress or maybe memories it can help to draw the dream out in the morning or even to look for metaphor in the long run seeking counseling can help you sort all that outin the meantime selfsoothing strategies may help you in the night when you wake and cant get back to sleep this can be anything with your sensesgetting a snack like tea and focusing on that taste smelling something pleasant listening to some relaxing music looking through a magazine taking a shower anything you can think of that might help you relax if it involves needing to get up thats okay getting out of bed can actually help you get out of that mind space and helps you associate your bed with relaxationsleep vs anxiety making it more likely you will fall asleep once  you lay down,1,1,1127,F,0.8985505104064941
118,1474,"every once and a while i think about my exboyfriend from four years ago and my current friend its like i cant get past it and i need some kind of closure i keep thinking about how we had something but it got cut off due to parental intervention nothing was ever wrong with it now weve become friends but theres this huge sexual tension between us or at least i feel it when were physically in the same place
   two summers ago we saw each other casually for a while but we never had sex then or while we were dating which was only for two months three years ago im now in my s and my current boyfriend is amazing and in his s despite the age difference i know were a really good match weve never really fought and are able to make compromises and talk everything out i tell him everything also my exboyfriend has a girlfriend now as well hes been seeing her on and off for the past two and a half years besides when they broke up and we had our casual thing that summer i told him i didnt want anything serious and broke it off only a week later he had gotten back together with his girlfriend his girlfriend is kind of mean spirited im sure she may be different around him but i worry about him committing to her in the long run theyre supposed to move in together soon but still i feel this connection with my exboyfriend and i feel like he does too    i dont know what to do i need some closure or im not going to be able to move on from this i dont know what it is but its driving me crazy im so happy with my current boyfriend and i know he will do everything in his power to make my life beautiful and fulfilling hes such a good person i also know my exboyfriend smokes marijuana and does other things but i cant get it out of my head im trying to take a nap right now between classes but i cant sleep because my mind is racing ive never been so hung up on something for this long ever
   i want to just talk it out with my exboyfriend but i dont know if thats a good idea because of the possibility that it could blow up in my face if he told his girlfriend everything could go wrong because she hates me if my current boyfriend knew he would be crushed on one hand i want my exboyfriend to say no to having feelings for me but i would be terrified of what to do if he said he has feelings too where would i go from there on the other hand i feel like i cant move forward in my relationship with my current boyfriend without closure from this sometimes i wish i could just cut off everything that had to do with my ex but i dont want to
   please help me because i really have no idea what to do",relationships,if youre in a relationship and youre having strong thoughts about someone else its important to pay attention to that although you say youre happy id suggest looking really carefully at the relationship you have and whether youre getting everything you need is there a physical connection with your ex that you dont have with your current boyfriend it could be that your boyfriend is marvelous in many areas but that you just dont feel excited about him for some reason thats a pretty important element to be missingit may be that even if you are happy with your current boyfriend you still hold something special for your ex if you feel the need to see what is possible there i think you have to tell your boyfriend about that and end it with him first you cant have everythingif you truly feel that you want to be with your current boyfriend you will do well to stop thinking about and focusing on your ex because thoughts of him will interfere with the growth of your current relationship the grass isnt greener a therapist can help you to focus your energies and thoughts on the present rather than an imagined version of the past or future,1,1,1144,F,0.8962881565093994
119,1570,ive felt this way for two years i feel so much better now then i did when it started but it is still there in the back of my mind at all times,behavioralchange,best answer that i can give to you is that some level of depersonalization is quite normal for everyone it will come and go throughout life kind of like being on a rollercoaster here it is then its gone not to return for quite some time like many things the more that you fixate on it the more stress it will cause you consider it part of life accept it and move on now if your having many many many of these episodes or have some auditory or visual hallucination or disturbances or emotional unbalancing that accompany it than that is definitely something to look at but for the most part nothing to worry about hope this helpsc,1,1,629,F,0.8536809682846069
120,1301,i use to be so happy no matter what i always was happy i got into a relationship with this guy i love him so much were both teenagers the week after his birthday my mom made me stop talking to him it broke me he came to my house and talked to her and she let us date again but not see each other he comes up to my school every day and it tears me apart that i have to lie to her,familyconflict,i understand that this can be difficult when you care about someone have you had a discussion with your mom as to why she does not want you and this boy to see each other and what her concerns are it sounds as though you and your mom may be able to use some help with communicating and compromising it is understandable that you do not to feel comfortable having  to lie to your mom it  would be helpful if she could understand that you having to lie to he is getting in the way of you being able to go to her with any issue and  feel she will hopefully understand or try to understand where you are coming from  have either one of you been in family therapy this may be something you may want to suggest to your mom to help you both understand where each one is coming from if your mood is sad and your feeling worse it is important that you reach out to an adult parent person at school whom you trust to share your feelings and help you feel understood and work through your problems,1,1,986,F,0.9490450620651244
121,1967,i am currently living in a hotel and i dont have a family  i met a guy a month ago  he is a bisexual  he has a lot of gay friends on social networking sites he would not help pay for the room  when i asked for the tv remote control he threw it elsewhere and asked me to get it i slapped him and asked him to leave my room  we recently just got back together  one time i was sick  he came to visit and feed me but left no money  then he texts me and brags about his house and car knowing that i have struggles living at a hotel  he says that he has a whole house where he can put me in and orders me to text him whenever i need someone to have sex with  he left his bath soap so he could come and get it  i think that he is trying to find a way to come back  please help me  whats going on  i am a good loyal woman  why is he treating me like this,relationshipshuman sexualitylgbtq,i am less concerned about this man as bisexual and having gay friends than about how you feel is treating you  you are in a vulnerable position because of social isolation  if you have friends to talk to please reach out  while this man has money it is not his job to take care of you financially unless the two of you have decided that together  it sounds like he sometimes cares for you and other times you feel disrespected  i would suggest you look for a man that is consistent in his love and care  this is not your fault  but you are in control of removing him from you life or choosing not to because he meets some of your needs  take care,1,1,646,F,0.9741564393043518
