,question_text,topics,answer_text,q_token_count,a_token_count,a_text_length
775,our relationship ended about  years ago but dont know how to let go how can i get over that person and move on,relationshipdissolution,what about this person do you miss most  what part of those things can you selfgenerate give those things to yourself  work thru the grief of losing this relationship   perhaps review this video and see what comes up  also reviewing your feelings around scarcity are they the only person who can be a healthy partner to you when thoughts of them come up redirect your thoughts versus letting thoughts of them consume your life  some have found support in engaging in acupuncture and emotional freedom technique eft also building up your feelings of selfworth and selflove outside of them and your former relationship evicting someone living in your head rentfree,1,1,662
777,my wife just last week said she wants a divorce and its all sudden i understand that marriages have their ups and downs but i dont understand why she cant tell me why she wants a divorce should i fight for my family daughter and wife,relationshipdissolution,chances are if you really think about it there were signs that something wasnt quite right in your marriage you may have passed these things off as being the normal ups and downs of a marriage but whatever it was or wasnt its obviously bothering your wife i would say yes keep trying to fight for your family at least until you know what the problems are from your wifes perspective and if theyre repairable ask your wife if shes willing to try to work on the marriage and then see a marriage counselor just be sure youre open to hearing whats said and try not to get defensive if she blames you for some thingseven if your wife is adamant about getting a divorce that doesnt mean youre divorcing your daughter and you should make sure she knows that continue to be a part of her life and although it may be difficult if a divorce does happen try to be as amicable as possible with your wife so your daughter isnt further impacted by this new family dynamic,1,1,957
778,weve been seeing each other for six years she has a teenage daughter and she dont want to break the family up,relationshipdissolution,what changed that after six years you raise the question of what to do about this relationshiphad you hoped until now that she would leaveif this is so and she clearly told you she will continue in her marriage then the control is in your hands now as to how long you are willing to continue in the relationship as it is currentlyemotionally releasing from a relationship takes much longer than the time to simply announce your departure from itemotions change gradually whereas whether or not in real practical time the two of you will continue seeing each other is a clear and straightforward choiceif you decide your best interest is in leaving then do so  your emotions will take a while to catch upthis is difficult and painful to do only it sounds like staying is even more difficult,1,1,789
779,he had a sexual relationship with his sister and kept it from me for years i confronted about it and he finally told me what happened but i dont think he is telling me the whole story he works with her and sees her every day    i feel that i shouldnt stay with him  but he says he ended it long time ago should i trust my husband and stay with him,relationshipdissolution,trust is a necessary factor for an intimate relationship to feel safethe person who must repair the trust is the one who has broken this trustthe best way to find out if your husband wants to restore your trust in him is to ask him this question  he may not be willing to meet your requestif he hesitates or becomes defensive about the need to restore your trust then ask him to think his decision through and tell him the serious consequence you are consideringask him to reflect for a few days or a week and then to address the topic againif you and he consistently find that he is unwilling to do anything at all to regain your trust then i agree you have serious thinking to do as to whether or not youd be able to live within a partnership based upon trust in which you dont trust your partner,1,1,798
780,my husband and i are separated and he doesnt even want to talk to me    he says he doesnt love me anymore but i would do anything to get him back is there any hope,relationshipdissolution,most important is to take care of your feelings regarding that he has left youfrom your description  there doesnt seem to be much hope your husband would like to keep the marriage goinghas a long time passed since the two of you separated   sometimes and really this is very rare people decide to return to their marriageif he impulsively decided to leave and now is a short while since he did this then there is some hope he will decide to stay togetherif hes been out of the house for a while and tells you what you wrote then there is greater chance hes had time to think through to split and will follow throughas painful as it is to hear that someone with whom youd like to be doesnt want to be with you accepting your hurt feelings will eventually let you come to peace with your feelingsto keep hoping against the facts of what hes said to you only makes your own pain intensify,1,1,885
784,a year ago the love of my life left me and never looked back our son was two months old at the time and it broke my heart i miss her so much and cant seem to get over being so heartbroken,relationshipdissolution,who takes care of your son is a significant part of getting over your heartbreakif you made reasonable custody terms re your son then the relationship heartache is much easier to recover from than if your sons mother vanished from his life or if the mother wants nothing to do w himre the actual relationship let yourself feel sad and hurt since this is the truthusually life gradually fills in new people including a relationship once you feel strong enough from having endured such sadness and loss,1,1,500
786,i googled chronic lying and found several websites describing what behaviors both he and i have been experiencing both of us agree we have an uncanny unbreakable bond hes been unfaithful many times while he remains my only intimate mate how can i learn to detach from him as he is not going to change,relationshipdissolution,first step is to detach then learn about itan attachment to a pathological liar or to someone who is psychopathic is based on insecurity fear or a sense to rescue someone or of pity   none of these attachment methods are healthy for human growth for either of you  he lies to you and this is clearly not usual in relationships which truly are intimate   someone who lies is not trustworthy and without trust there is also no intimacythe type of attachment between you and this person is not discussable in reasonable terms   the bond is strong and irrationalonce you have separated from this person youll have more freedom to know within yourself of what kept the relationship going for seven years,1,1,698
787,i got married in  i have a two year old son his mom and i decided to separate due to my infidelities weve tried to reconcile our differences but it never works out since weve been separated ive dated someone and we are expecting a baby girl is this something i should mention to my wife the current woman whom im dating has been telling me for months to break up with her but its hard because i actually love her,relationshipdissolution,my answer is yes you should tell her because you have a child with her she is the mother of your son and this new baby would be his half sister i think telling her is mature and appropriate usually procrastinating just makes it worseanother thing to consider would you want her to tell you if she was pregnant with her boyfriends baby hope this helps take care,1,1,360
789,i got engaged and everything was going well things went downhill at some point and i broke off the engagement due to an opportunity to go to college after that i found out she had been cheating on me i think about her all the time now and we have been communicating on and off but my friendsfamily dont know,relationshipdissolution,somehow you knew the marriage wouldnt have a good start if your fiancé was cheating on youcongrats on your intuition and following your intuitionan engagement breakup is full of disappointment and sometimes talking about the particular points help the couple to clarify and possibly set the relationship on new terms or feel more confident in the breakupi suggest you identify what topics re the relationship youd like to clear up with your exif both of you are having touch and go conversation which doesnt address the deeper and more troubled areas which led to the cheating and breakup there is a chance you both will go down a similar road of casual and light conversation which hits the wall of the deeper obstacles between both of youyour friends and family dont need to know anything until you feel ready to tell them what you decide to tell them,1,1,853
790,he was in love with someone years ago and he still thinks about her time to time he said and i quote that relationship is definitely over i love you but that girl will always be in my mind it just didnt feel like he appreciated all the things ive done to make him happy,relationshipdissolution,trust your intuition on your conclusion about this guyhe may very well love you only with the ex so prominent in his mind it is possible your feeling of not being appreciated now would multiply if ever the two of you needed to address a delicate topicsince he is emotionally attached to the former gf it is very likely he wouldnt be able to fully love you as much as youd like and are already sensing,1,1,400
791,my spouse decided he no longer wanted me six years ago things have deteriorated so badly that we have separated but still live in the same house he says he despises the sight of me wants to be with other women and divorce what i dont understand is that he says constantly that i have no feelings for him and gets absurdly jealous if i speak to another male why does he constantly do these behaviors i might add he has been diagnosed with borderline personality disorder and as a narcissist,relationshipdissolution,what a burden for youyour husband cannot seem to make up his mind on his viewpoint and doesnt seem to care whether or not youre affected by speaking out of two sides of his mouthkeep yourself protected emotionally from him   theres no good which can come by arguing with a person who  flips their positionlive as separately as possible from him and stick to roommate type matters such as groceries bill paying and housecleaning as discussion topicsif he cannot make sense of what he thinks and feels then certainly you will face similar difficulty trying to do so,1,1,563
793,my husband and i are separated he says he needs some time apart he says he needs to get back the in love part of a relationship but doesnt want to lose me should i wait or start over new,relationshipdissolution,its not uncommon for relationships to go cold over time it is a matter of one or the other becoming complacent if you and your husband have been together for quite some time its likely that you are very comfortable and familiar with each other while this is a good thing in some ways it can also become boring and you run the risk of losing that in love feeling he is referring to couples simply become ambivalent for some of the couples i work with in my practice i find that helping to organize a time apart which i call a therapeutic separation can do wonders for the relationship i offer homework to be done during this time reading worksheets and individual counseling helps people learn more about themselves and what they desire out of their relationship it often times brings more appreciation for their partners when the pair comes back together we are able to push the reset button and begin a new chapter that is more fulfilling and exciting than before,1,1,964
795,"i want a secure relationship with someone that wants to be with me and who will actually put effort into it
 i seem to gravitate toward unavailable men and those that want intimacy and no relationship i let men dictate and control me because they accuse me of being controlling i let men emotionally abuse me and i am at their beck and call
 i am not comfortable being alone or doing anything by myself i feel i need the security of someone being around just to survive i know what im doing wrong and i do it anyway just hoping things will change how do i stop this behavior and thought process",relationshipdissolution,you may be interested in reading my most recent post intimacy begins with you in it i offer  expert tips to help you get started on a path of self connection and discovery this is important stuff to do in order to work through that stuff thats holding you back from the relationships you desire you may find that its especially helpful to do this work with the alliance of a skilled individual therapist,1,1,403
797,after my fiancé cheated on me because of a miscommunication i pulled myself away from him    now he says all he wants is be with me im pushing him away mentally now because he cheated on me again i make plans with him that i dont keep i really do love him still and i care about him should i give home one more chance,relationshipdissolution,people dont cheat bc of miscommunication   people cheat bc they feel diminished regard for their partneryou pulling away doesnt explain his behaviorif the two of you still were a couple at the time he cheated on you then there were many alternatives he cold have taken besides disrespecting youtry to understand whether you are satisfied and happy in the relationship  your actions sound as though you are not either of thesewhether or not you decide to be together again many depend too on if the trust you had in him is restored  do you feel you can trust him againif the two of discuss your relationship then if you dont trust him right now and the both of you talk about your dynamics then tell him about your feelingstrust is foundational to feeling safe and happy in a relationship,1,1,787
798,i recently went through a divorce my exhusband called my sister saying bad things about me my sister never defended me now that i showed the truth shes shutting me up and saying she doesnt care about the fight why didnt she convey that to him from the beginning,relationshipdissolution,sorry for so much emotional pain from the combination of the divorce and your sister not supporting you in the way you wishwhen you feel ready and if you feel this would help then consider to talk to your sister from perspective to improve the relationship the two of you havesince the ex is gone and the sister is an ongoing person in your life this particular incident is only one in many which the two of you will have with each otherthe disappointment you feel now as to how she handled herself is a point to bring up to her for the sake of clarifying the type of relationship you each would like to build with each otheras to your specific question as to why she did what she did she is the only person who has the answerstart with finding out if she wants to improve the relationship altogether   then you can use her lack of support with the ex as an example of how meaningful her support of you is to you,1,1,912
799,she said she needed space after three days of dating and she got a boyfriend a week later i still really miss her and she told me she still likes me,relationshipdissolution,given the short amount of time you know this girlfriend there is no history on which to make a judgment about the likelihood of what she will do nextcertainly she is confusing by telling you she likes you and is with someone new  and not giving you any explanation as to why she made her decisionid suggest two possibilitiesspeak with her and ask her if she considers opening your relationship with heror simply wait and see what she does when you contact her in a friendly waypay attention to your own satisfaction levelif you get more answers from her which arent agreeable with you then it is time to put the hope for this relationship behind youthen youll have clear space to find someone who is as interested in you as you are in them,1,1,739
801,my exgirlfriend says shes bored and wants to experience life single i treated her really badly and caused meaningless fights when she didnt do anything i feel remorseful and im willing to do whatever it takes to get her back shes unhappy when i called her she was crying and said she will text me when shes ready,relationshipdissolution,were you happy with the ways she satisfied youa relationship is happiest if each partner concentrates on the happiness of the otherstrange for someone who was treated badly to describe themselves as bored rather than say they feel hurtis it possible you are being selfcritical about your behaviors toward your ex girlfriend either she is unaware of her feelings or not being fully truthful with you about her feeling badly treatedsince shes putting up a barrier to communicating with you better for you to respect this than contact her by phone againconsider in a few weeks so each of you has time to think over your happiness with the other person to write her an email which states your interest to reopen the relationshipwho knows you may even decide by the end of a few weeks that youre fine without this particular relationshipdepending on her response to your email youll know whether and how much chance there is for the relationship to clear up the problems of the past and to continue,1,1,993
802,my fiancé and i broke up he cheated on me numerous times i kept forgiving but questioning his every move he got tired and left,relationshipdissolution,cheating on you shows a lack of commitment in addition to the emotional hurt it createsprobably you didnt actually forgive him because if you did then you wouldnt have been asking questions of his every movemaybe you were open to forgiving him   in order for forgiveness to be effective the person who has done the injuring must first show some understanding and empathy for the great pain the person caused in youfrom what you write your fiancé didnt seem to have much interest in earning back your trust or in empathizing with the way his cheating effected youit is very likely his tiredness is also tiredness you feel of having to watch him all the timeas uncomfortable as adjusting with the disappointment of him leaving you the situation you describe sounds like it was unsatisfying for both of you,1,1,803
805,i was in a relationship with a woman for four years we both made mistakes but i do love her    she has moved in with another lady i think she is just cheating on me to make me miss her how can i find out for sure,relationshipdissolution,has your former partner made any efforts to be in contact with you in order to restart your relationshipfrom what you describe your former partner is in a new relationshipit is possible that since you love her and would like to be together again that you are misinterpreting your former partners actionsif youd like to have more certainty as to wether your former partner is cheating or whether she is happy to be with the new partner is to contact her and ask her your questiona better road may be to accept your sad feelings that she is with someone elsesince she was meaningful to you respect the sadness you feel and that the relationship didnt continue as you wished,1,1,671
806,ive been in an on an off relationship with a this man for almost  years even though i care about him he continues to hurt me    he and his wife were separated when we met now hes going through a really difficult divorce from her and is taking it really hard i want to end this relationship but i dont feel like i can how can i let go,relationshipdissolution,first decide what you truly would like in the current relationship understand your reasons for staying in the relationshipthree years is a substantial amount of time to be involved with someone   whatever attachment you feel toward this man is deep and complexinstead of deciding to leave or not leave change your question to figuring out your satisfactions and dissatisfaction with the man also important is to tell the man your feelingswhatever problem you are feeling may become clarified by discussing what bothers youat the very least you will give the guy a chance to show how interested he actually is in the tension you currently feel and have felt for a while,1,1,668
807,i was in a relationship for almost five years we were friends for a few years before we got into a relationship he was a caring friendly and charming guy up until three and a half years in he started controlling me who i hung out with where i was at all times and he had a huge hissy fit if i tried to ask him the same questions all that time he just liked me as a friend and was cheating on me with my socalled friends at the end he was a nasty and narcissistic person now its hard to be social,relationshipdissolution,it sounds like you had a very confusing and painful experience in this relationship and now you feel hesitant to let yourself get close to people it is understandable that when we are hurt in relationships we may have trouble trusting and allowing ourselves to be vulnerable with otherstherapy is a great place to explore the roots of present difficulties in relationships to unpack what happened in prior relationships and to find new ways to show up in relationships so that we can have the relaxed intimacy that we want often relationship difficulties represent patterns of relating that we learn early in life which we may feel compelled to act on outside of our awareness and therapy provides an opportunity to become more aware of these patterns so that we can change them enabling us to feel secure and to seek out satisfying companionship,1,1,846
808,were not together but im still doing things for him and we are intimate hes not there for his son,relationshipdissolution,you didnt ask a direct question because i feel from what you wrote you already know the answer  i hate to sound harsh but i am a therapist that call it how i see it so brace yourselfyou will always continue to have problems with letting your childs father go as long as youdont love or respect yourself firstdont love and respect your sondont demand respect as a woman and mothergive up the goods regardless of what he does for you or your sondont hold your son as a priority in your lifehave self worth of a  etci have a feeling you are sayingi do love my son and hold him as a priority even if you dont do it for yourselfi would askare your actions of allowing such disrespect from his father proof of thati know what i have said may have gotten under your skini want it to because i feel that you have a conscience want to do better know you and your son deserve better and you can do better  believe in yourself and that you and your son do desire better and it starts with you setting boundaries with his father  you can do  it,1,1,1032
809,my husband used a lot of negative words to hurt me and i moved out he is seeing a counselor and wants another chance to make things right im not sure if i trust that he will not go back to his old ways,relationshipdissolution,i am glad he is seeing a counselor  that is something that most men struggle with doing at times  time will tell if his actions are of good intentions  however remember that a person can only do to you what you allow them to do in relationships   what part did you play  did you down play his disrespect at one time  did you give up the power of your own voice  did you lose yourself in the relationship and it became just one sided  did you allow him to make you doubt yourself   in others words if you do decide to give him another chance what would you do different  not saying that you are the blame or cause of the negative words at all but dont allow such disrespect from him or anyone else in the future  if you do decide to give it another try go in with a voice with the demand of respect with your needs and wants expressed and expected  with an increase in your self worth and confidence you will know what to do if his actions are true or if with dishonest intentions   seek counseling as well if you need that additional support to find self,1,1,1054
810,my husband and i got into a huge dispute he said he wanted a divorce and i left i still come home a lot and see my kids and he has not filed yet even though he still said he is what does that mean for our marriage,relationshipdissolution,in any relationship including marriage each partner will be better able to do their part by understanding their own interests and wishesconcentrate more on what youd like from your marriage  this will naturally raise the questions and criteria of what to talk with your husband about and what to ask of himthink over whether you wish to divorce or notsince he hasnt taken any action then for the moment you can assume he is not sure of what he wantsonce you feel a little more clear on your opinion about your marriage including feeling uncertain if youd like it to end or continue then you will be able to tell your husband the suggestions you have for resolving the dispute matter and emotionstry to redirect your speculations about what does he want i wonder what hes thinking back to answering these very reasonable questions about yourselfthis will strengthen your own purpose in clarifying where to start and guide a discussion with himgood luck,1,1,951
812,i keep on begging him to come back i am so unhappy with him but am so scared of being a single parent to our son i was abused as a little girl and that has made to be very abusive to men what should i do,relationshipdissolution,major change frightens almost everybodydont be so afraid of your fear that you let yourself beg and are willing to accept unhappiness as a standard in your marriageif you start considering that life can be better than what is current for you now new possibilities and ideas will start developing in your mindconsider finding a therapist so that you have private space to talk in detail about your fears and the new ways of seeing your selfa therapy relationship since it is safe and supportive will be a good balance to having been abused suffered and unhappy,1,1,559
813,im a teenager and i just got my first job i am a month and a half in yesterday my boss pushed me to the point where i had to go to the restroom and cry she didnt see me and im glad but when i went to talk to her about it today i let a tear or two come out i hate it i feel like theyre not going to keep me anymore,workplacerelationships,how sad for youim sorry your first job is turning into a place of tensiondid the matter between you and your boss get resolveddo you feel respected by your boss and does she listen to your point of view even if afterwards she disagreeskeep an open mind over the next several weeks or few months on how you feel in your new work situationexpect to be treated fairly and reasonablyif this is not the way you feel most of the time then consider finding a new place to work,1,1,469
814,my wife is always accusing me of cheating and telling me that im doing things she finds disrespectful even when i dont mean it like that for example she gets offended when i call someone at work sweetheart i wish i had a penny for every time she accused me of cheating on her she doesnt and never will say she was wrong how do i get her to understand,workplacerelationships,here is the truth you will never get her to understand because that would mean changing her and we cant change other people we can only change ourselves i would recommend to take the time to self reflect on what exactly it is that you are doing that is contributing to the mixup you both have very valid feelings and those wont magically go away until you address the root problem which could be many factors i am curious to know more about past relationships the both of you have had and how that plays a role in your current relationship many times we dont realize how past relationships truly impact our current behaviors,1,1,624
817,"i am in a high stress position for a tech company i am being overworked and underpaid for my contributions and it is not only giving me anxiety but also demoralizing
   what can i do to manage my stress",workplacerelationships,i am curious what makes you stay sometimes managing stress is only a band aid to a bigger problem when you ask yourself what your life would look like without this stress what do you see we can easily talk about coping strategies for stress mindfulness deep breathing meditation journaling exercising etc all of which may be things to help manage your stress hearing your sentiments above i am being overworked and underpaid for my contributions i wonder if the stress is more resentment and if managing is really the solution,1,1,526
825,my boss took over some work id begun concerned that she had doubts about my work i asked her for feedback i assured her that i did my utmost for customer service and asked if i was deficient she then said this was me being codependent,workplacerelationships,your boss response was insensitiveeither you can assume she was careless in her remark to you because of some unusual pressure in her own day and ask for feedback at a different time on a different projector if you dont want to take your chances of being insulted again then be your own evaluator of how well you did your workassume your work was at least good enough otherwise she would have pointed out any mistakes,1,1,417
827,"ive worked with this guy for about three years now and i knew the first time i saw him that i was attracted over time he became a very dear friend and we talked about our relationship problems family dreams and so on there was always flirtation with us and one day pretty recently it progressed to making out we agreed to keep it quiet and we did but in the back of my mind i hoped it would become something more it didnt and three months later im still not over it
   im trying so hard to maintain the friendship because thats what he wants were no longer in the same office which i thought would help me get over these feelings but we still talk about work and hes constantly touching me so im still very drawn to him hes a hugger and such a sweet guy so i find myself fantasizing all the time about what could have been and what could still be but hes clearly not interested hes younger than me and prefers model types but i see him checking me out a lot which gives me hope how do i get him out of my system and still maintain the friendship",workplacerelationships,it sounds like you have mixed feelings and motivations  which is understandable on the one hand you want to get over him on the other you are still holding out hope for something more it will be really hard to let go of him and create friend boundaries so long as there is a part of you holding on to the idea of something more if you are being really honest with yourself you might need to acknowledge that you are not really striving to get him out of your system  that you have not really given up hope of having a relationship with him if you are wholeheartedly committed to moving past the sexual and romantic parts of your relationship and just having a friendship than refraining from all the touching would be a good place to start it is hard to just be friends when all your sex and bonding hormones are coursing through your veins,1,1,840
830,i am conflicted with this guy i work with he is a coworker and close friend whom ive had a crush on since meeting him four years ago we made out once after years of flirting i was hoping for more but nothing happened i distanced myself a lot after,workplacerelationships,hello emotions run high in crush situations and when emotions run high its not uncommon for us to have emotionbased instead of factbased thoughts after reading your question i wondered how you went from making out to nothing happened i wondered if this happened because of an emotionbased thought that sounded like if he liked me he would make something happen a truer and more empowering thought might be i want something different to happen with him and i want to take a different action to see if that can happen this thought focuses more on the one thing you can control you  hopefully the thought also empowers you to think through what you can do to gauge interesttalk with him about his feelings on the matter i hope this helps and good luck to you,1,1,755
831,i believe it is wrong for men to look at inappropriate content the father of my child has agreed to respect my beliefs his coworker sent him an inappropriate video he got mad because he does not think he should tell his friend to not send him things like that,workplacerelationships,the offspring are your propertyif you require that no other man show inappropriate content to them then require compensation for use and enjoyment of your property without your consentsend them a billwhen they do not pay it activate the local sheriff take them to small claims court and win a judgment against them for failure to compensate for the use and enjoyment of your propertyi wonder what might happen after that learn to act as man  and watch the magic happen,1,1,468
835,ive been suppressing it for quite some time but there are days when i cant make eye contact with her i think she knows and we both admitted there was some type of vibe but the overall discussion was vague i think she could possibly be dating someone that works with us its driving me crazy as an act of expression i have purchased a gift for her thats personalized i havent given it to her yet,workplacerelationships,there are many possible ways dating your boss could go awry and jeopardize your occupational wellbeing so my recommendation is to hold off on presenting your boss with a personalized gift and instead focus on building attraction and romantic interest with someone who is not at the workplace  sometimes the element of power and unavailability can heighten our sexual interest but that doesnt mean its a healthy idea to pursue someone who is in a position of power over you at your workplace,1,1,490
837,i was having a sexual relationship with a coworker he decided he was going to get a hotel room for the weekend before i got paid i told him i would have  which i thought i would but when i saw my paycheck i could not pay the  he says i lied to him about it he wants me to reimburse him  for the hotel room he decided to get he stayed at the hotel and i left i dont think its right that he want me to reimburse him  for a hotel room he wanted to get in the first place he is out of town right now and texted me yesterday telling me i am a liar and that i should never said i was going to have  when i knew i wasnt i told him i had to pay rent and my rent was late he texted me saying i need to get two or three jobs,workplacerelationships,hello and thank you for your question it really is up to you to decide if you owe him the  if you feel like it is the right thing to do based on your discussion with him then pay when you can i am actually much more concerned with how he is treating you over  i know that it can be a lot of money if you dont have much but that doesnt give someone the right to call you names and harass you through texts you may want to take some time and think about your relationship and make sure that these are the qualities and behaviors you want in a sexual partner be wellrobin j landwehr dbh lpcc ncc,1,1,592
838,my coworkers are making false statements about me to the boss saying i have mood swings they have no proof to back it up can my employer make me see a therapist of their choice,workplacerelationships,if this is a concern of a few coworkers make sure it is not something they see but you dont admit to  employers can suggest or something stipulate in continued employment with them  for you to go to their employment assistance provider eap if they have noticed the same behavior and concerned of how it is effecting productivity or employee relationships  no one wants to work in a environment which they consider hostile  employers can be held responsible if they do not take actioncouple of things you can doask a coworker in which you trust and respect if what others are saying is trueseek professional help from your primary care provider or counselor if mood swings do exist,1,1,680
840,does this go against any ethical codes are there legal ramifications,workplacerelationships,generally the ethical codes only prohibit relationships with clients there are however a few types of counselortocounselor relationships that are prohibited by the ethics codes such prohibited relationships include those between supervisors and supervisees between professors and students or any time the relationship might negatively impact your or their clients lastly some workplaces have rules against dating coworkers it would be a good idea to check if there is such a rule that applies to you,1,1,499
841,maybe this is a stupid question but i sometimes dont know whats real or not if feel at times like everyones lying how do i know if god is one of those lies,spirituality,as in matthew    ask and it will be given to you seek and you will find knock and the door will be opened to you although i minister in interfaith  jesus also mentions about how he lives within all of us  as in the beginning when the solar system was created in dark matter   we are created in the image of to better understand ourselves  your soul journey the date and time life  breathed into your physical part while understand that we animate the physical  faith and belief is a choice  suggestion  order a life path report  it helps you learn more about you educate and seek spiritual advisors to help you connect to the spirit   talking about it helps,1,1,657
847,my fiancé and i come from a strong christian background but both went off the straight and narrow once before he is having a hard time accepting my past especially that im not a virgin he has a hard time in general accepting himself and others    his insecurities are hurting our relationship how can i help him let go of my past and decide to live in the present,spirituality,seek deliverance from parts of your past youre struggling to let go ask the holy spirit or higher power to help you mentally take those past experiences and lay them in trust at the foot of the cross for jesus to handle acknowledge that holding onto the past is sin because it keeps you from obeying gods call to move on as you will see in the two verses i will list below jesus and the apostle paul are telling us that we have to learn how to let go of our past jesus says that anyone who is trying to move forward in his walk and call for god  but keeps looking back  is not fit for the kingdom of god  but loves you and you are a child of the most high and it is time to cleanse and strip away this resentment  there are energy medicine and eft exercises that i could show you  i will send him some positive vibes ,1,1,817
854,i was born a girl but i want to be a boy because of my religion i cant tell my family i know they wont accept me what do i do,spirituality,im so sorry to hear that you dont feel as though your family would support you in embracing your true self because this is a very complex situation i would encourage you to reach out to a local therapist who specializes in treating lgbtq clients an experienced therapist can help you to explore your feelings around your gender identity and assist in facilitating a discussion with your family or help you prepare to have that conversation on your own i would also encourage you to contact national and local resources that can be tremendous sources of support these include the followingglbt national youth talkline  trans lifeline  trevor lifeline trevorchat trevortext  text chat to  or call at the end of the day there is the family we are born with and the family that we choose give your family a chance but if they refuse to accept you know that there are people in this world who will appreciate you validate you and love you for who you are,1,1,949
863,i dont know what to say i have never really known who i am,spirituality,what exactly is it that you are looking for different people define themselves in different ways for example one person may define himself by his values and morals while another identifies herself by her personality and characteristics still another person may define himself by his interests and hobbies learning who you are as a person can take time and life experience at the same time who you are may change according to what experiences you have had and how you have dealt with them or felt about them try viewing the journey of finding yourself as exciting and ongoing allow yourself to feel emotions and learn how they relate to the experiences you have this may help you to know more about what you value what you like and dislike and what you want for yourself in life best of luck to you,1,1,797
871,im a christian teenage girl and i have lost my virginity my boyfriend is a christian teenager too but things just got out of hand between us in a sexual manner i planned to abstain from sex but i guess i wasnt clear about this because i was also tempted and led him on we continued to have sex does it mean that he isnt the one god planned for me were so young but that doesnt stop me from dreaming of a potential future together i really do feel like he is in my life for an important reason im incredibly happy for i was able to escape from several abusive relationships because of him i love him very much,spirituality,having sex with your boyfriend is and was a mistake mistakes can be forgiven and you can make amendsbut it is not the end of your relationship or gods will for youhave a serious talk with your guy and get back on track with where you want to be talk to a counselor or your priestpastor get someone to be your guide and mentor check in with them regularlygetting back to square one could actually strengthen your relationshiphave a plan for the future where you will not be put into a place of temptation group dates public places and no alone time where temptations might ariseforgive yourself and move on,1,1,605
873,in particular during family gatherings such as funerals where there are different customs,spirituality,i think the best thing you can do is be respectful of each family members wishes although everyone may not agree with one another the most important thing you can do for each other is to respect their faith and beliefs instead of trying to sway them in a certain direction there are many families that are united despite their differences for example a mother may be catholic and the father jewish by introducing the children to each faith until they are ready to decide for themselves can be beneficial also its not uncommon for views to change as one ages or faces different life experiences so dont get too discouraged if your child wants to explore different avenues creating a loving and accepting environment is most essential,1,1,732
875,"there are issues from my past that have me very heavily burdened in my heart ive been torn for so many years and i need help so i can move on with my life
   i experienced trauma when i was  years old and i did come out about it until i was 
   now i know this is whats holding me back on my happiness ive met a very loving and caring man but because im holding on to these things from my past im pushing him away
   how can i get my life back",trauma,how does holding on to this serve you not becoming married to the trauma will be key  recreating your life and what that means what you want it to be considering who you would be what would life be like had this not occurred not letting it usurp your life take your power back  releasing any feelings of resentment   shame regret going as far as to grieve and forgive what could have been and this part of your life history life story  if you are open you can write a letter saying what you are still feeling and you can choose even to write the response you would love to receive and then release it by burning it safely or throwing it away its a daily practice to find peace around this have you ever considered the emotional freedom technique eft or hot yoga,1,1,761
886,i am a survivor of multiple sexual abuserape experiences triggers are having an effect on my daily life and my sexual relationship with my partner im trying to learn to cope with them,trauma,have you tried counseling  having ptsd from multiple abusive sexual experiences is very overwhelming for one to handle alone  you may need the guidance experience and support of a professional to identify all the triggers that effect you and obtain the best coping skills that would work for you,1,1,295
