,questionText,topics,re_diagnosis,clean_answer_text
32,my boyfriend cant get over my promiscuous past he says he loves me  but says the thought of my past is disgusting and a sexual distraction he says he should have had more sex with different people i dont know how to handle this,relationshipsintimacy,mood disorders,i am sorry to hear of your relationship struggles one thing i wonder is did you volunteer the information about your past or is this something that he asked about  in the future it is probably best to leave details out of conversations like this  i think it is common and natural for partners to ask about the sexual history  for one thing it is a good idea to be checked for stds before entering into a sexual relationship with someone and it is fair to share that information with each other  partners usually want to know how many you have been with and what kind of sexual preferences you have or if there is anything you dont like to do  this gets into a gray area for some people  i dont necessarily want to know how many people my partner has been with and i certainly dont want a whole lot of details  sometimes that is an image i just dont want in my head about my partner  vague details are usually enoughhowever i understand that your partner has the details and is not happy with your past  this is a reflection on him not you  this shows insecurities on his part  you cannot control how he will react to information that you provide to him and you cannot control how he feels about the information  the past should remain in the past and not be held against you in the present or future   if he cannot handle your past then it is going to cloud your relationship  you can offer couples counseling to him and see if he will go with you  i have seen relationships recover from some very serious problems such as infidelity  it takes two people who both want it to work to make it work though if your boyfriend cannot get over your past you may have to let him go  dont keep yourself tied to someone who is not right for you  constantly holding your past over your head and holding that against you is only going to bring you down and eventually you may start having insecurities or low selfesteem due to this type of treatment i dont see that you have done anything wrong  if you arent cheating on him now and you answered his questions about your past honestly how he handles that information is on him  ultimately relationships have a tendency to come and go dont fight to hold onto someone who is not right for you  it is okay to be single and enjoy being the best you that you can be  in time the right person for you will enter your life
33,what do i do if i have been feeling like i could never be with anyone because no one would want me or i couldnt have many friends because of who i am its strange i want to be loved but id hate to be because i always lose,relationships,anxiety disorders,im sorry you are feeling uncared for im sure there are plenty of people that care and love for you that you are not taking into consideration sometimes when we get upset we may think irrationally and see the world as all or nothing however take a deep breath relax and start focusing on the positive relationships you have with others regardless of how small or insignificant they may seem i think you will quickly realize there are people out there that care a great deal about youi also think it would help for you to surround yourself among people who you can identify with and share common interests with maybe you can attend a religious service join an interest group ie reading club sports group etc or start a group of your own most importantly you need to tap into your interests and surround yourself with things that are beneficial for your own mental and physical health from this relationships will start to immerse you may also like to talk with a therapist regarding your feelings of being unloved this is an unhealthy way to think of yourself and i think with a little help you can see that you are more than deserving of a great relationship thanks for reaching out and i wish you the best of luck moving forward
34,what makes my step child an  year old boy choke my daughter a  year old girl this has been going on for  years the boy tells my daughter not to tell on him he knows its wrong we have did time out spanking taking away toys and sitting on the wall i am afraid for my daughters safety,anger managementparenting,anxiety disorders,i can see why you are alarmed that is a scary situation for a parent do you know if the child has been evaluated by a mental health professional early treatment is often the key a professional will be able to help the child learn how to control their anger and mend the troublesome actions into more appropriate responses have you addressed your concerns with the childs other parent there could be contributing factors in his life that could be causing these issues exposure to violence sexualphysical abuse drug use stressful events in his life etc it is important that these factors are identified so that they can either be eliminated andor reduced i wouldnt hesitate to have him evaluated if he hasnt been already and to ensure that he is getting the help that he needs whether it be medication andor therapy until then i would make sure that he is always supervised under an adults care
35,i have this weird fetish that im afraid to open up about it what should i do,intimacy,mood disorders,this is difficult to answer because you dont tell us what the fetish is  i do understand that this is something that is bothering you though the first thing to ask yourself is if this is something that is illegal or not  if this is illegal to engage in then you need to seek counseling help immediately to control the urgeshowever if your fetish is not something illegal and you just feel that it is something odd a therapist could still help you deal with these feelings  you may find that it is something very common and not something to be ashamed of  you may find other people have the same interest as you  find a therapist that you can trust and tell them  dont hold back with your therapist  trust me they have heard and seen it all by now and they can help you either stop the behavior that is causing you distress or help you come to terms with accepting the behavior as part of who you are  there is no need to suffer with this alone
36,my coworkers are making false statements about me to the boss saying i have mood swings they have no proof to back it up can my employer make me see a therapist of their choice,workplace relationships,anxiety disorders,i cant give you legal advice but employers can suggest you see someone if your behavior is affecting your job i believe most government agencies have an employee assistance program eap where employees can talk to a therapist about any issue not just workrelated for free up to a certain amount of sessionsim wondering though why your coworkers would tell your boss this if its not true is it possible that youre not aware of how your interactions are affecting others maybe this forced counseling can be an opportunity for some introspection on your part
37,im in a state of depression right now who can i talk to ive been sick in a lot of pain and crying dont know where to turn,depression,mood disorders,first of all if youre sick and in pain have you seen your doctor if you have a chronic illness and pain this can often lead to depression and is very common youve taken the first step to dealing with it you can talk to your doctor even if your depression isnt related to your health he or she can either look at prescribing you an antidepressant or can refer you to a psychologist or psychiatristif thats not really an option for you there are also helplines local or national or support groups where people dealing with similar issues can talk to each other if you cant find any in your area newspapers usually publish this information there are online support groups as well
38,"my dad refuses to acknowledge my anxieties about going to parties dinners etc whenever i have an opinion it gets shut down my mom and everyone else behaves likewise for my father who heads a company this is normal he has to be right all the time he blatantly refuses to even try to see it from my angle 

recently however its been getting to the point where i feel pressured and unable to speak my mind it isnt possible for me to get professional oneonone help he tells me to grow a pair and get over it i recently have been developing more severe body image and selfconfidence issues which i have had all my life i feel invalidated by my dad  i have been more paranoid lately as well i cant turn on location services anymore on my phone because of a past incident he makes me feel guilty about it  i feel rather worthless more often than not unfortunately  what do i do",family conflictselfesteemparentinganxiety,anxiety disorders,im sorry to hear that you are unable to get through to your parents it sounds like you are experiencing a great deal of anxiety that needs to be addressed by a professional despite the fact that you are unable to at the moment i would recommend talking with another adult such as a  school counselor that can offer you support in this area perhaps they can work with you on your anxiety issues and schedule a meeting with your parents so that heshe may help mediate the conversation with themif you are unable to reach out to a school counselor maybe you can try a member of the family such as an aunt or an uncle that feels comfortable addressing the issue with your parents sometimes it helps hearing it from a third party before the situations is taken seriously enoughgood luck
39,im a  year old male and having erection problems still have the desire for a woman awfully frustrated any suggestions my doc doesnt want to discuss it,intimacy,mood disorders,hi there first off i have to commend you for reaching out it takes a lot for a man to reach out for help when it comes to erection problems believe it or not this problem is very common for men and women there are some things that you can try naturally before resulting in medication such as your eating habits and exercise i would suggest taking a look at what you are consuming throughout the day do you consume a healthy diet and do you exercise regularly how much caffeine and sugar do you intake daily  these are just a few common things to look at you would be surprised of how much pressure what we consume puts on our bodies our bodies are like a car you have to maintenance it in order for it to continue to run if you would like to get further natural advice andor suggestions on eating healthy and exercising i would recommend you see a nutritionist a nutritionist specializes in maintaining a healthy diet as far as your doctor i would recommend looking into getting another doctor i have never heard of a medical professional not wanting to talk about anything that appears to be a personal issue on their part i hope i was helpful and i wish you the best of luck
40,my husband cheated on me and it hurt me very bad it was a time when my health was poor im have a hard time moving on,human sexualitymarriage,mood disorders,how has your husband acted since then was he regretful how did you find out did he confess these are all things that you want to consider betrayal is very hard to get over so if its taking you awhile to get over know that this is normalhopefully youre husband has been very regretful and upfront and honest with you since this happened it may take awhile to reestablish your trust with him and he should understand this its also very important to discuss why he cheated you want to make sure that the reasoning behind this was not something that could arise again in the future and if it can there needs to be an action plan in place ie being honest with how hes feeling so that you both get a chance to rectify the situationif the cheating has happened more than once you may want to reevaluate your reasoning for staying in the marriage it would be obvious that he did not truly regret what he had done or else he wouldnt repeat the same mistake however if it was a single event and he has shown you and continuously shows you that he genuinely loves you and is sorry for his mistake i would give it a try people do make mistakes and sometimes it takes an event like this to realize what you haveknow that it takes time and that you have the right to feel what you feel if the relationship was a good healthy relationship it is worth saving ease back into it and be upfront with your feelings in return your husband should be patient and understanding of this also marriage counselors are often a good goto as they have a great deal of experience working with marriages in similar situations best of luck to you
41,"ive been abused emotionally all of my life and for some reason i keep getting with men that i let emotionally abused me
how can i stop it i know the mistakes that ive made in my life im having a really hard time getting back on my feet can you help me please",relationships,anxiety disorders,i want to applaud you for taking this first step towards realizing that this is an issue and wanting to do something about it  you are already on the road to a happier life with this realization  a lot of women do not recognize that it may be something about them that continues to attract a man like this and will only blame it on the men for treating them that way  until you realize there is a problem you wont start looking for a solutiondont misunderstand me  the abuse is not your fault you are seeing a pattern though so this does need to be addressed first go and buy the book boundaries where you end and i begin by anne katherine  read it  this book describes many situations that are similar to yours describes how a person came to be that way and how to stop it  you will have to learn to set good boundaries in your life and to maintain thembe single for a while  stay single until you feel like a whole healthy happy person on your own  often we get in a relationship because of a need  if you feel like you need a person in your life to make you a whole person then you are in a relationship for the wrong reasons  the first step is to work on whatever it is in you that makes you feel like you need another person in your life  identify those needs and then learn to fulfill them on your owni was doing a couples therapy session and the husband was being emotionally abusive to the wife  this was a recurrent theme for her like you are saying it is for you  however she had been doing a lot of work on her own and in private therapy and this was a new relationship  obviously she still had not gotten it right because she did once again attract a man with these tendencies  the difference this time was that she had done a lot of work on herself and had become a stronger person  when she looked at him in our session and said to him i dont need you i want you  but not if you are going to continue to act like this  so you leave the house and dont come back until you are ready to make some changes  she stuck to that too  he didnt leave for two more days because he kept telling her he would do different and begging to be allowed to stay  she had drawn a boundary and stuck to it and he left she was fully prepared to be single again  they actually did end up working things out in the endyou cant let someone stay and continue to treat you badly  sure a marriage takes work and compromise on both sides  couples therapy can help you both learn to communicate in a healthier way with each other and can help you realize what areas in the relationship need work  you may not realize how some of the things you say to him comes across and he may not realize how what he says does to you  a therapist can help you with this so that you both learn how your words can hurt but you need to know your boundaries and be prepared to stick to them and not compromise your boundaries  that means following through on the threat to leave when he continues to abuse you  someone cant do that if they are too scared to be alone  if they feel they need the other person in their life these patterns are developed in early childhood from what we learn from our parents  when someone has grown up in a dysfunctional family it is all they know  even when you can say that you realize it is a problem you still dont know how to stop it because you never learned any other way of interacting with people  something that took a lifetime to learn will take time and work to overcome  be patient with yourself and find a good therapist  you cant change your partner  work on you and when you begin to heal and feel healthy the right people will come into your life and stay  the more you focus on trying to change the wrong ones to be what you want the more frustrated you will become
42,i feel like i would be more comfortable as a girl even though i still like girls i think im like a girl stuck in a guy body i imagine myself as a girl too i think this more because my friends say that if i was a girl i would be a hot looking one and i dont care about having boobs or anything i just feel like the way that i do act will make more sense if i was a girl,lgbtq,anxiety disorders,i understand that gender andor sexual identity crises can be very difficult to navigate although in todays time i think we have made a lot of progress and it is becoming easier for individuals to find themselves and also find acceptance from societyi am unsure how old you are  if you are a child or teenager this is a normal time to have identity questions and to be in a phase where you are trying to figure out who you are and what you want out of life  i hope that you have understanding and supportive friends and family that you can talk to and who will support you in how you feel and what you may decide to do  a lot of people unfortunately do not and if this is the case then it makes it harder for you  because then you may not feel safe exploring these feelings and decisionsi urge you not to try to make any permanent changes for quite some time  by this i mean a sex change  anything permanent like surgery or hormone replacement to change your actual gender is something that does not need to be done lightly  please find a therapist that can help you explore your feelings and your identity crisis  of course there are things that you can do that are not permanent changes  many people decide to dress like their gender of choice  maybe experimenting in this way is something that you could dosee if you have a local chapter of pflag in your area pflag stands for parents families and friends of lesbians and gays  they are able to help not only with those who identify as lesbian or gay but also transgendered and asexual i wish you all the best in your identity crisis  it would be very easy for you to sink into depression if you do not have good support and understanding from those around you during this time  find a professional that can help especially if you experience depression or any thoughts of harming yourself
43,ive have lived for sometime with depression but things have gotten a lot better but why is it so hard to get over anxiety and social isolation,anxietydepression,anxiety disorders,the best way to handle depression and anxiety is with a combination of appropriate medication given to you by a medical doctor and therapy to help you understand the thoughts feelings and behaviors that are causing the depression and anxiety in the first place and then to replace these with more positive thoughts and behaviors  this is not something that anyone should just white knuckle and try to get through on their own with no help  cognitive behavioral therapy is a technique that has been proven helpful for depression and anxiety  this takes a therapist trained in cbt there are some things in life that you cannot change and must learn to accept  a lot of people spend time trying to change things that they have no control over  this may be the behavior of someone else in your life or it could be a situation that you cannot change such as the recent death of a loved one a lost relationship or an accident or illness which has left you handicapped  in cases like this what can change is your attitude and thoughts about the situation that you now find yourself in  one thing that is inevitable about life is that stuff happens and it is not always pleasant some people take these unpleasant occurrences very hard and it throws them into a deep depression  other people seem to be able to handle lifes ups and downs and bounce back  they do this with having positive coping skills in their life  learning new coping skills is something your therapist can help you witha lot of people are so focused on trying to change the things in their life that they cannot change and are ignoring the things that they can change  there are things that you can do  here is a quote for you to consider  you are getting almost everything that you are getting based on the choices that you have made  you will continue to get the same thing out of life until you make some changes  another quote i like is you will find a way or you will find an excuse  dont ever say that you have no choice  everyone has a choice  you might not particularly like any of the choices that you are facing but you do have choices  not happy in a relationship  you can leave it  hate your job  get a new one  if it matters to you you will find a way  dont sit there complaining about everything but not doing anything different or bettertake care of yourself  exercise is very important not only for your physical health but for your mental health as well  eating right and exercising will help you feel better about yourself  also find a meditation that works for you  there are progressive muscle relaxation exercises visual and mental meditations and many many more  start making some positive changes in your life today  you can do it
44,"hello i have a cousin in my family who has been making me feel belittled insecure and frustrated during her stay here in the city i know she comes from a place of love but she has always been shortfused and highly temperamental if something doesnt work out the way she planned it i have tried my best to coordinate plans with her but she always ends up frustrated about the lack of communication i seem to have on my part and then makes condescending comments about my character that include inconsiderate negative oblivious and self consumed 

i have tried to talk to her openly about this but it always comes back as an attack on my character and i have never heard these comments from anyone else before i have been thinking a lot about her comments and whether i truly am an inconsiderate person who is not thoughtful spatially aware of surroundingspeople or positive but in the end i am feeling awfully hurt about how this has affected our relationship 

what can i do",family conflict,mood disorders,do you have a close friend or relative whos opinion you trust ask them for their honest feedback and if they see you like your cousin does if they dont see these qualities in you then it may be your cousins issue and shes taking it out on you you can always ask her what would be the best way to communicate plans with her so you know specifically what she is expecting then if you meet these expectations and she still blames you and comments on how inconsiderate you are its her issue and she is not coming from a place of loveeven if you do resemble her comments the way it sounds like she approaches this problem is not out of love the fact that youre introspective enough to consider your own behavior suggests the problem is not with you
45,"i have a child with my baby mother she works i take care of our young son she says she is not cheating i have not found anything but she always putting me down telling me to get out and telling me she doesnt love me but then the next day after our fight she says she does im having a hard time because before our child she said she was raped by a family member but she never went to the hospital or the cops now me and my family dont talk shes always telling me im annoying and just belittles me nothing i do is right

she says i work you watch the baby on her days off she never cooks or cleans i have no friends or family and a couple months ago she was confiding to some guy but says hes not any thing to her what do i do i dont want to leave",domestic violence,anxiety disorders,it sounds like you are in a tough situation you have to ask yourself why you dont want to leave her is it because of the child or is it because you want the relationship to work you must consider that being in an abusive relationship is not healthy for you or your child so if the abuse continues it would be more beneficial for you and your child to move outon the other hand if you are just wanting the relationship to work out despite its current state you need to evaluate whether the relationship is worth salvaging it seems as though you are very unhappy and undervalued in this relationship although your question revealed just a short bit of information i didnt read about any positives in the relationship sometimes its extremely hard to leave a relationship even though you know that the relationship itself is harmful for you however with time and focus you can do it each day will get a little easier and you have to trust yourself that you are making the right situation for you and your childhowever if you really feel that you want to stay in the relationship you have to be upfront with her you need to tell her exactly how you feel and give her specific examples of how she is hurting you this gives her a chance to render the situation if after this there is no improvement i suggest that you start reconsidering your decision to stayi also think it would be valuable for you to start engaging in things outside of the home that make you happy are there any hobbies you enjoy are there any groups in the area that you can join such as playgroups that will allow you to engage with other parents start looking into these options and finding an avenue for you to do something for your own benefitit is certainly not healthy for you to isolate yourself from friends and family you need to have additional support networks besides the one with your girlfriend especially since this has not been a healthy environment latelythank you for reaching out i wish you the best of luck with your relationship
46,or how to send him somewhere that can help him something like the baker act,substance abuseaddiction,mood disorders,more information would be needed for me to accurately answer this question such as your age whether you live with your dad or not and what other family members live in the household something like this alcoholism is a whole family disease  in other words family members often unknowingly contribute to the alcoholism and enable the alcoholic to continue the destructive behaviorfirst of all you cant make your dad do anything and constantly nagging him or begging him to stop is just going to make him defensive and make this worse  nobody can change another person  what you can do is change how you react to him and the things that you and other family members do for him research codependency  theres a great book called codependent no more  there are a lot of articles on the internet that you can read  in short you have to stop enabling him  like i said you cannot control him but you can control yourself  this means do not buy his alcohol  do not make it easy for him to get  dont loan him the car keys or pay any household bills for him  dont call in sick to work for him or make excuses for him in any way  do not bail him out of jail when he gets arrested he needs to be responsible for himself this may mean losing his job or losing his drivers license this may mean that he loses his family if he doesnt stop what you and your family can do is set boundaries about what you will put up with  it is his choice to drink but it is your choice to put up with the behaviors of his drinking  a lot of people go into rehab because their spouse said if they dont then they are getting a divorceif you are an adult and you dont live with your dad then the best thing you can do for him is stop doing things for him  if you are a child who lives at home with him then this could be a case for child protective services in my state this is called dhs  a report is made to this organization for child abuse or neglect  substance abuse in the home qualifies  of course alcohol is legal and when consumed in moderation there is no problems  the problem will be the result of his alcohol consumption  does he drive with children in the car while intoxicated  is he left to care for minors while in an intoxicated state  are there any domestic violence issues due to his drinking  this could be a reason for the authorities to step in you can look for a local meeting for family members of alcoholics  they are similar to the aa meetings that an alcoholic should go to but are for the family members  they can help you
47,in particular during family gatherings such as funerals where there are different customs,spiritualityfamily conflict,anxiety disorders,i think the best thing you can do is be respectful of each family members wishes although everyone may not agree with one another the most important thing you can do for each other is to respect their faith and beliefs instead of trying to sway them in a certain direction there are many families that are united despite their differences for example a mother may be catholic and the father jewish by introducing the children to each faith until they are ready to decide for themselves can be beneficial also its not uncommon for views to change as one ages or faces different life experiences so dont get too discouraged if your child wants to explore different avenues creating a loving and accepting environment is most essential
48,"i dont know whats wrong with me at times i can be really happy excited ill talk fast and i want to do things but lately ive been staying up way later and sleeping too much i dont hang out with friends i dont really have them i feel nothing worthless i want to do nothing i have no interest in anything 

all i usually do is stay in my room i want to be happy i want to be nice whats wrong with me",depression,mood disorders,im sorry to hear that you are feeling as if youre in a slump first of all nothing is wrong with you many people report similar symptoms have you ever talked with a physician regarding your symptoms two extreme emotions such as feeling extremely happy and then feeling extremely low for a length of time may indicate a mood disorder i think it would be best to talk with your doctor or a therapist to help pinpoint the issue causing themits possible that it could just be certain stressors in your life that are causing the two extremities but you definitely want to rule out any mental health issues if it is in fact mental health related there are many medications or therapy choices that can help thanks for reaching out i hope that you will feel back on track soon
49,im worried i should see a therapist due to past events and current mental status im just so unsure of how to ask my doctor about seeing someone,professional ethics,anxiety disorders,thanks for your question im glad you realize that you need extra support and are being proactive simply explain to your doctor the feelings you have been experiencing and how you feel that speaking with a mental health therapist would be beneficial however  keep in mind that you do not have to go into detail about your personal feelings you can simply state that you are feeling down overwhelmed stressed or whatever it may be im sure your doctor will be glad to direct you from there best of luck you you i hope that you will be feeling better soon
50,i feel like my time is going too fast,anxiety,anxiety disorders,thank you for reaching out that is a great question as an american i can truly say that i spend way too much time on the go it is a proven fact that americans live in a fast paced environment compared to europe i often ask myself what if i only had one day left on this earth what would i do well that is an easy question i would spend it with my family easier said than done when we are living in a tomorrow kind of world right its hard to focus on the now when we are so consumed in what tomorrow shall bringtime management is a very important factor when learning to live life to the fullest in fact this is a required course in undergraduate college now everyone manages their time differently and it is up to you to decide how you would like to do this personally for myself i like to keep a calendar with a todo list i always place my most important tasks at the top of the list that way if i do not get through the list i am not stressing over the little things when planning your day it is important you schedule work eat and play a much as it is hard not to work after getting off work it must be done there is discipline involved in this process if you have trouble with this then maybe seeking out some accountability such as including a coworker to make sure you do not bring work home once your shift is over or your spousepartner reminding you that this is a time for play and not workthese are just some ideas that i am throwing out there again everyone has their own style on time management i hope this was helpful for you please dont hesitate to reach out for anything further
51,im worried i should see a therapist due to past events and current mental status im just so unsure of how to ask my doctor about seeing someone,professional ethics,anxiety disorders,having this kind of conversation with a doctor can feel difficult  but remember you are the expert on you  any good medical professional will recognize thatyou are absolutely right to think about the importance of being your own health care advocate  generally the best approach is simply to be honest  let your doctor know what you are concerned about and tell your doctor what you think might help  if there is a specific issue that youd like to address in counseling let you doctor know about it  and dont hesitate to directly ask for a referrali know this may all feel a little overwhelming  it might help to bring a family member or significantother with you to provide support when you talk to your doctor  its great that youve already taken this first step to reach out  youre on the right track
52,"my last relationships have ended horribly they just up and abandoned me one of them i have never gotten closure with over it leaving me emotionally wrecked i know somethings wrong with me but i dont know how to even start trying to better myself
i get into these depressed like states whenever anyone i care about is too busy to be with me i know that i shouldnt act like that because people are genuinely busy but i feel like theyre doing it just because they dont want to be around me",social relationshipsanxietydepression,anxiety disorders,frequently when working with clients i utilize the abc model developed by albert ellis the founder of rational emotive behavior theory the theory basically states that you can not control an event but you can control your reaction to the emotions associated with said event for instance here is an examplea action or event you need to talk to someone and that person is not calling you backb behavior or response you begin to tell yourself that this person is too busy for me or i am not important to this personc consequence you feel depressedif you look at the model b has a direct effect on c the thought is if you change your reaction to a then c will have a better consequence such asa stays the sameb this is what you change this person must be busy they will call me back when they get a chance or i can call someone else to lean on for support until this person is availablec decreased feelings of depression  overall functioning improvesthis is just an example but if you actively work to replace the negative thought patterns that effect your behavior studies show that your overall outlook and mood will improve if this model resonates with you i recommend feeling better getting better staying better by alber ellis in addition looking for support groups in your area are a great source of support when you are feeling abandoned or alone
53,i havent uttered one word to my boyfriend in days now im over it and dont know how to approach the situation,relationships,anxiety disorders,in any relationship it is important to be able to say im sorry because it shows vulnerability and openness i recommend that you sit and have a discussion with him now that you are calm about why you were upset and how you would like to handle such incidents in the future if you find yourself becoming upset again i encourage you to take a  minute break and then come back to the conversation once you are no longer heated studies show that talking or discussing arguments are more effective once you have cooled down and you are more likely to hearunderstand what your partner is trying to convey
54,"ive been with my boyfriend over  years he cheated on me and the woman is now pregnant he is physically and mentally abusive towards me i have attempted to talk with him in order to resolve our issues however he never wants to talk and often blames me for everything
im always there when he needs my help he tells me although i help him doesnt mean that i am a good person he always discredits me as a woman and its hurtful i spend most day crying and feeling lonely i am unhappy and unsure of what i need to do",domestic violencerelationships,anxiety disorders,that sounds like a very hurtful situation unfortunately without a batterers intervention course or a desire to change the abuse cycle is unlikely to stop i do not recommend that you try to leave on your own due that being the most dangerous time when in an abusive relationship as an abuser his goal is to control you whether its through mental or verbal means i recommend that you contact a domestic violence shelter in your area i have worked closely with harbor house of central florida and know they provide housing transportation and any other needed resources to women leaving an abusive relationship there is help out there and you are not alone if you need any additional resources in your area please dont hesitate to contact me
55,"i started dating a guy i met online he told me that he registered sex offender but he didnt do anything he took a plea to always register as sex offender and he did two years that was more than two decades ago nothing on his record since
i always believe the past should be left in past but my roommates their family and my son are unforgiving should i forgive this man that im falling in love with or should i dump him if i stay with him i will never see my family and granddaughter again",family conflictrelationships,mood disorders,thank you for your question trust is a huge thing in relationships and when that is broken or perceived as being broken it takes a long time to repair from what you shared it sounds like your boyfriend took steps to correct the situation and has shown to be trustworthy since unfortunately no matter how much we apologize for something we did or for something others perceive we did there will always be those with hardened hearts and will not forgive if you feel confident in your relationship then trust your inner wisdom we cannot control others but only ourselves respect your families wishes to remain in unforgiveness while at the same time ask them to respect your wish to believe in him and be in this relationship good luck to you
56,"about  years ago or so i was skinny but i was still ugly i really do want to change that but ive tried  times now can i try but dont stop at school i get bullied about my weight and my ugliness and i have been bullied my whole life that i believe them
how can i stop thinking about them and dont let it get in my head my parents said i dont weight that much but they do think i am fat but they tell me i am not i told my parents that i need to go to a therapist but they think i am fine and i think they dont want to deal with it",selfesteem,mood disorders,hey  i am so impressed with your efforts to ask questions to figure out how to change the messages that you hear and say to yourself and to get support  and it sounds like you want to make some changes in your life  take a walk over to the counseling office at school the school nurse or consider reaching out to your pediatricians office you dont have to have your parents permission to seek support for yourself  and maybe taking control of your support network will give you the strength to make even bigger decisions about your health  i am rooting for you  be wise
57,"a few nights ago i talked to this girl i know about my self esteem issues for the first time we talked for hours and she told me time and again that i was a great guy she told me i was attractive and have a great personality etc i really started to feel better about myself by the time i woke up the next morning
now though i cant stop thinking about her but i leave to go back to college in a few days and i go to school  hours away from her so now i feel constantly depressed because even if i told her how i felt it wouldnt matter i feel helpless and i dont know what to do",selfesteemrelationships,mood disorders,hey  it takes a lot of courage to share your feelings with someone  and it sounds like you have been lucky to meet someone who makes you feel safe enough to explore some of your more painful feelings  a big part of the process however of strengthening your selfconcept is learning how to tell yourself those positive messages that you heard from your friend  leaving for college may also be contributing to your feelings of unsteadiness  try this  make a list of all of the positive things that you know are true about yourself  ask your friends and family to contribute to the list  then carry it with you in your wallet  and when you need a selfesteem boost take a look at it  you are in a season of life that presents lots of challenges and opportunities  reach out to your longdistance friend when you need support  and take a walk over to the campus counseling center and check out what they might have to offer  be wise
58,she cried because she lost all trust in me now i feel disgusting and like my heart just got stabbed what do i do,parenting,anxiety disorders,hey  sounds like the part of you that knows the right thing to do won here  i am so proud of you for admitting that you lied to your mom  sometimes lies come out of our mouths before we can even catch them because we are trying to say what the other person wants to hear  i bet that as you begin to show her that you are not going to lie any more she will begin to gain trust in you again  be open with your feelings with you mom  she is there to support you guide you and love you  give her lots of hugs  and give yourself one too for being so brave  be wise
59,when having sex i think of other men and want other men all day long been married  years together  what do you think,intimacy,mood disorders,sustaining passion in marriage is tough stuff its a relatively modern dilemma you are facing with perhaps unrealistic expectations of what marriage should be it sounds like your definitions of love and sexual passion have merged together thats both common and confusing intimacy and sexuality within your marriage are bound to ebb and flow resparking your passion will involve growing using your sexual drama and fantasies as windows into discovering your needs security and wants desires marriage is a people growing process you mature into one another and to achieve fulfillment your continued development will be required
60,we make love once per month is it normal,intimacy,mood disorders,to begin with whats normal for one couple isnt going to be normal for the next every couple has their own normal and thats important to keep in mind your sexual lives will ebb and flow what id be more curious about is the quality rather than the quantity of the sex you are having id also want you both to refocus on building up your little daily moments of connection i wrote a post about exactly that a while back and you can find it here
61,in this argument my friends are all against me so im wondering if im exaggerating my feelings i feel like im being attacked and that is making me blow things out of proportion and taking the role of the victim when in reality im the one being unreasonable and i am simply annoying my reasonable friends or are they really being insensitive and not respecting me in our friendship,social relationships,anxiety disorders,conflict is a tricky beast and shows up in every one of our relationships what im reading is that you find yourself in a loop of  seeking validation of your thoughts and feelings from your friends rather than validating yourself am i right if you arent validating yourself no one else will be able to either  try finding a small nugget of truth in the feedback your friends give you this will help to lower your defenses and help your friends hear what you are really sharing  and then if you are still feeling vulnerable share that too
